item_url,ts,top_buy_avg,buy_count,top_sell_avg,sell_count,platform,weekly_volume_est
secura_dual_cestra,2025-08-12T21:39:49Z,16.667,3,34.667,9,pc,76
creeping_bullseye,2025-08-12T21:39:50Z,,0,4.0,61,pc,253
mutalist_alad_v_assassinate_key,2025-08-12T21:39:51Z,,0,9.333,6,pc,41
irradiating_disarm,2025-08-12T21:39:52Z,,0,14.333,13,pc,9
antimatter_absorb,2025-08-12T21:39:52Z,,0,10.333,17,pc,12
arcane_barrier,2025-08-12T21:39:53Z,22.667,3,4.0,43,pc,136
arcane_ice,2025-08-12T21:39:54Z,,0,2.333,10,pc,21
telos_boltor,2025-08-12T21:39:55Z,17.333,3,22.667,10,pc,162
frost_prime_set,2025-08-12T21:39:56Z,80.333,14,90.0,40,pc,371
catalyzer_link,2025-08-12T21:39:56Z,,0,4.667,7,pc,8
targeting_subsystem,2025-08-12T21:39:57Z,,0,11.333,11,pc,49
strun_wraith_receiver,2025-08-12T21:39:58Z,7.0,1,31.0,4,pc,35
tectonic_fracture,2025-08-12T21:39:58Z,,0,12.0,14,pc,7
mantis_set,2025-08-12T21:39:59Z,5.0,1,13.667,24,pc,69
acid_shells,2025-08-12T21:40:00Z,3.0,1,9.333,43,pc,178
nightwatch_napalm,2025-08-12T21:40:01Z,,0,9.667,28,pc,101
quasar_drill,2025-08-12T21:40:02Z,,0,8.667,12,pc,9
comet_blast,2025-08-12T21:40:03Z,,0,5.333,11,pc,10
nebula_bore,2025-08-12T21:40:04Z,,0,4.333,9,pc,10
kaszas_blade,2025-08-12T21:40:05Z,2.0,1,9.667,14,pc,53
velocitus_receiver,2025-08-12T21:40:06Z,,0,9.333,12,pc,51
fluctus_barrel,2025-08-12T21:40:07Z,4.5,2,9.333,7,pc,106
fluctus_limbs,2025-08-12T21:40:07Z,5.0,1,7.667,15,pc,86
fluctus_stock,2025-08-12T21:40:08Z,3.5,2,6.667,16,pc,42
decurion_barrel,2025-08-12T21:40:09Z,,0,8.667,7,pc,58
hydroid_prime_set,2025-08-12T21:40:10Z,81.333,10,95.0,33,pc,372
cleanse_corrupted,2025-08-12T21:40:11Z,,0,28.333,9,pc,12
kappa_beacon,2025-08-12T21:40:12Z,,0,5025.0,2,pc,9
star_crimzian,2025-08-12T21:40:12Z,,0,1.667,14,pc,149
virtuos_strike,2025-08-12T21:40:13Z,,0,4.0,19,pc,51
hunter_adrenaline,2025-08-12T21:40:14Z,,0,4.667,29,pc,133
viper_wraith,2025-08-12T21:40:15Z,12.5,2,36.333,10,pc,16
grineer_shipyards_manufactory_scene,2025-08-12T21:40:16Z,10.0,1,200.0,1,pc,4
infested_ship_bridge_scene,2025-08-12T21:40:17Z,,0,200.0,2,pc,5
corpus_gas_city_conduit_scene,2025-08-12T21:40:17Z,,0,200.0,1,pc,4
eidolon_madurai_lens,2025-08-12T21:40:18Z,,0,28.333,5,pc,23
eidolon_vazarin_lens,2025-08-12T21:40:19Z,,0,21.333,5,pc,16
eidolon_unairu_lens,2025-08-12T21:40:19Z,,0,14.0,8,pc,11
zephyr_prime_chassis_blueprint,2025-08-12T21:40:20Z,,0,6.333,27,pc,225
pax_soar,2025-08-12T21:40:21Z,,0,6.333,13,pc,13
redeemer_prime_blade,2025-08-12T21:40:22Z,1.0,1,4.667,14,pc,70
akjagara_prime_receiver,2025-08-12T21:40:23Z,2.0,1,9.667,12,pc,155
kitgun_riven_mod_(veiled),2025-08-12T21:40:23Z,,0,1.0,26,pc,73
spectrosiphon,2025-08-12T21:40:25Z,6.0,1,12.667,20,pc,32
wolf_sledge_head,2025-08-12T21:40:25Z,,0,1.333,13,pc,17
wolf_sledge_set,2025-08-12T21:40:26Z,15.0,2,26.667,47,pc,120
orb_vallis_scene,2025-08-12T21:40:27Z,,0,65.667,5,pc,9
zhuge_prime_grip,2025-08-12T21:40:28Z,2.0,1,6.333,11,pc,144
freeze_force,2025-08-12T21:40:29Z,,0,11.333,24,pc,17
swirling_tiger,2025-08-12T21:40:29Z,,0,3.0,18,pc,8
quick_thinking,2025-08-12T21:40:30Z,,0,3.667,34,pc,54
wyrm_prime_blueprint,2025-08-12T21:40:31Z,6.333,4,10.667,16,pc,102
spring_loaded_blade,2025-08-12T21:40:32Z,10.0,4,19.667,22,pc,266
kinetic_diversion,2025-08-12T21:40:33Z,2.0,1,6.667,8,pc,18
power_throw,2025-08-12T21:40:34Z,,0,1.667,25,pc,28
malignant_force,2025-08-12T21:40:35Z,,0,5.0,51,pc,370
superior_defenses,2025-08-12T21:40:36Z,,0,3.333,18,pc,7
energy_inversion,2025-08-12T21:40:37Z,,0,2.667,16,pc,12
shattering_justice,2025-08-12T21:40:38Z,,0,11.333,9,pc,16
fast_hands,2025-08-12T21:40:38Z,,0,1.667,15,pc,7
polar_magazine,2025-08-12T21:40:39Z,,0,3.667,14,pc,9
rifle_amp,2025-08-12T21:40:40Z,,0,12.333,9,pc,22
spare_parts,2025-08-12T21:40:41Z,,0,2.333,17,pc,11
no_return,2025-08-12T21:40:41Z,,0,2.0,12,pc,18
vaporize,2025-08-12T21:40:42Z,,0,6.0,11,pc,8
vicious_spread,2025-08-12T21:40:43Z,,0,2.667,42,pc,51
enemy_sense,2025-08-12T21:40:44Z,,0,2.0,24,pc,12
blind_rage,2025-08-12T21:40:45Z,70.0,6,10.0,56,pc,756
rifle_ammo_mutation,2025-08-12T21:40:46Z,,0,5.0,19,pc,37
