set_url,part_url,quantity_for_set
frost_prime_set,frost_prime_neuroptics_blueprint,1
frost_prime_set,frost_prime_systems_blueprint,1
frost_prime_set,frost_prime_chassis_blueprint,1
frost_prime_set,frost_prime_blueprint,1
strun_wraith_receiver,strun_wraith_blueprint,1
strun_wraith_receiver,strun_wraith_barrel,1
strun_wraith_receiver,strun_wraith_receiver,1
strun_wraith_receiver,strun_wraith_stock,1
mantis_set,mantis_fuselage_blueprint,1
mantis_set,mantis_engines_blueprint,1
mantis_set,mantis_avionics_blueprint,1
kaszas_blade,kaszas_handle,1
kaszas_blade,kaszas_blade,1
velocitus_receiver,velocitus_barrel,1
velocitus_receiver,velocitus_receiver,1
velocitus_receiver,velocitus_stock,1
fluctus_barrel,fluctus_barrel,1
fluctus_barrel,fluctus_limbs,1
fluctus_barrel,fluctus_stock,1
fluctus_limbs,fluctus_barrel,1
fluctus_limbs,fluctus_limbs,1
fluctus_limbs,fluctus_stock,1
fluctus_stock,fluctus_barrel,1
fluctus_stock,fluctus_limbs,1
fluctus_stock,fluctus_stock,1
decurion_barrel,decurion_barrel,2
decurion_barrel,decurion_receiver,2
hydroid_prime_set,hydroid_prime_blueprint,1
hydroid_prime_set,hydroid_prime_neuroptics_blueprint,1
hydroid_prime_set,hydroid_prime_chassis_blueprint,1
hydroid_prime_set,hydroid_prime_systems_blueprint,1
zephyr_prime_chassis_blueprint,zephyr_prime_neuroptics_blueprint,1
zephyr_prime_chassis_blueprint,zephyr_prime_blueprint,1
zephyr_prime_chassis_blueprint,zephyr_prime_chassis_blueprint,1
zephyr_prime_chassis_blueprint,zephyr_prime_systems_blueprint,1
redeemer_prime_blade,redeemer_prime_blade,1
redeemer_prime_blade,redeemer_prime_blueprint,1
redeemer_prime_blade,redeemer_prime_handle,1
akjagara_prime_receiver,akjagara_prime_barrel,2
akjagara_prime_receiver,akjagara_prime_blueprint,1
akjagara_prime_receiver,akjagara_prime_receiver,2
akjagara_prime_receiver,akjagara_prime_link,1
wolf_sledge_head,wolf_sledge_handle,1
wolf_sledge_head,wolf_sledge_blueprint,1
wolf_sledge_head,wolf_sledge_head,1
wolf_sledge_head,wolf_sledge_motor,1
wolf_sledge_set,wolf_sledge_handle,1
wolf_sledge_set,wolf_sledge_blueprint,1
wolf_sledge_set,wolf_sledge_head,1
wolf_sledge_set,wolf_sledge_motor,1
zhuge_prime_grip,zhuge_prime_barrel,1
zhuge_prime_grip,zhuge_prime_grip,1
zhuge_prime_grip,zhuge_prime_string,1
zhuge_prime_grip,zhuge_prime_blueprint,1
zhuge_prime_grip,zhuge_prime_receiver,1
wyrm_prime_blueprint,wyrm_prime_blueprint,1
wyrm_prime_blueprint,wyrm_prime_cerebrum,1
wyrm_prime_blueprint,wyrm_prime_carapace,1
wyrm_prime_blueprint,wyrm_prime_systems,1
imperator_vandal_barrel,imperator_vandal_blueprint,1
imperator_vandal_barrel,imperator_vandal_barrel,1
imperator_vandal_barrel,imperator_vandal_receiver,1
orthos_prime_blade,orthos_prime_blade,2
orthos_prime_blade,orthos_prime_blueprint,1
orthos_prime_blade,orthos_prime_handle,1
loki_prime_systems_blueprint,loki_prime_neuroptics_blueprint,1
loki_prime_systems_blueprint,loki_prime_systems_blueprint,1
loki_prime_systems_blueprint,loki_prime_chassis_blueprint,1
loki_prime_systems_blueprint,loki_prime_blueprint,1
odonata_prime_harness_blueprint,odonata_prime_blueprint,1
odonata_prime_harness_blueprint,odonata_prime_harness_blueprint,1
odonata_prime_harness_blueprint,odonata_prime_wings_blueprint,1
odonata_prime_harness_blueprint,odonata_prime_systems_blueprint,1
odonata_prime_systems_blueprint,odonata_prime_blueprint,1
