item_url,ts_bucket,volume,min,max,avg,median,platform
secura_dual_cestra,2025-08-10T22:00:00.000+00:00,2,21,30,25.5,25.5,pc
secura_dual_cestra,2025-08-11T02:00:00.000+00:00,1,20,20,20.0,20.0,pc
secura_dual_cestra,2025-08-11T03:00:00.000+00:00,3,20,35,27.5,25.0,pc
secura_dual_cestra,2025-08-11T04:00:00.000+00:00,1,35,35,35.0,35.0,pc
secura_dual_cestra,2025-08-11T12:00:00.000+00:00,1,33,33,33.0,33.0,pc
secura_dual_cestra,2025-08-11T14:00:00.000+00:00,1,33,33,33.0,33.0,pc
secura_dual_cestra,2025-08-11T18:00:00.000+00:00,2,35,35,35.0,35.0,pc
secura_dual_cestra,2025-08-11T21:00:00.000+00:00,1,34,34,34.0,34.0,pc
secura_dual_cestra,2025-08-11T23:00:00.000+00:00,1,25,25,25.0,25.0,pc
secura_dual_cestra,2025-08-12T05:00:00.000+00:00,2,20,25,22.5,22.5,pc
secura_dual_cestra,2025-08-12T11:00:00.000+00:00,1,30,30,30.0,30.0,pc
secura_dual_cestra,2025-08-12T15:00:00.000+00:00,2,25,33,29.0,29.0,pc
secura_dual_cestra,2025-08-12T16:00:00.000+00:00,1,28,28,28.0,28.0,pc
secura_dual_cestra,2025-08-12T18:00:00.000+00:00,1,35,35,35.0,35.0,pc
secura_dual_cestra,2025-08-12T20:00:00.000+00:00,1,30,30,30.0,30.0,pc
creeping_bullseye,2025-08-10T21:00:00.000+00:00,1,15,15,15.0,15.0,pc
creeping_bullseye,2025-08-10T22:00:00.000+00:00,8,4,5,4.5,4.0,pc
creeping_bullseye,2025-08-10T23:00:00.000+00:00,1,10,10,10.0,10.0,pc
creeping_bullseye,2025-08-11T00:00:00.000+00:00,2,10,12,11.0,11.0,pc
creeping_bullseye,2025-08-11T01:00:00.000+00:00,6,3,4,3.5,4.0,pc
creeping_bullseye,2025-08-11T02:00:00.000+00:00,1,10,10,10.0,10.0,pc
creeping_bullseye,2025-08-11T03:00:00.000+00:00,2,4,5,4.5,4.5,pc
creeping_bullseye,2025-08-11T04:00:00.000+00:00,4,4,4,4.0,4.0,pc
creeping_bullseye,2025-08-11T06:00:00.000+00:00,1,10,10,10.0,10.0,pc
creeping_bullseye,2025-08-11T07:00:00.000+00:00,1,5,5,5.0,5.0,pc
creeping_bullseye,2025-08-11T08:00:00.000+00:00,3,4,5,4.5,5.0,pc
creeping_bullseye,2025-08-11T09:00:00.000+00:00,1,10,10,10.0,10.0,pc
creeping_bullseye,2025-08-11T10:00:00.000+00:00,5,4,4,4.0,4.0,pc
creeping_bullseye,2025-08-11T11:00:00.000+00:00,1,10,10,10.0,10.0,pc
creeping_bullseye,2025-08-11T12:00:00.000+00:00,1,10,10,10.0,10.0,pc
creeping_bullseye,2025-08-11T14:00:00.000+00:00,6,4,5,4.5,4.0,pc
creeping_bullseye,2025-08-11T15:00:00.000+00:00,2,4,5,4.5,4.5,pc
creeping_bullseye,2025-08-11T16:00:00.000+00:00,1,12,12,12.0,12.0,pc
creeping_bullseye,2025-08-11T17:00:00.000+00:00,6,4,5,4.5,4.5,pc
creeping_bullseye,2025-08-11T18:00:00.000+00:00,1,14,14,14.0,14.0,pc
creeping_bullseye,2025-08-11T19:00:00.000+00:00,1,5,5,5.0,5.0,pc
creeping_bullseye,2025-08-11T20:00:00.000+00:00,2,5,5,5.0,5.0,pc
creeping_bullseye,2025-08-11T21:00:00.000+00:00,2,3,5,4.0,4.0,pc
creeping_bullseye,2025-08-11T22:00:00.000+00:00,2,5,5,5.0,5.0,pc
creeping_bullseye,2025-08-11T23:00:00.000+00:00,1,10,10,10.0,10.0,pc
creeping_bullseye,2025-08-12T00:00:00.000+00:00,5,4,5,4.5,4.0,pc
creeping_bullseye,2025-08-12T01:00:00.000+00:00,4,4,5,4.5,4.0,pc
creeping_bullseye,2025-08-12T02:00:00.000+00:00,3,4,4,4.0,4.0,pc
creeping_bullseye,2025-08-12T03:00:00.000+00:00,1,5,5,5.0,5.0,pc
