set_url,platform,part_url,quantity_for_set,unit_cost_latest,buy_med_latest,sell_med_latest,sell_depth_med_latest,latest_date_part,unit_cost_source
acceltra_prime_set,pc,acceltra_prime_barrel,1,6.333,6.333,7.333,26.0,2025-09-18 00:00:00+00:00,BUY
acceltra_prime_set,pc,acceltra_prime_blueprint,1,1.0,,1.0,18.0,2025-09-18 00:00:00+00:00,SELL
acceltra_prime_set,pc,acceltra_prime_receiver,1,1.5,1.5,2.0,36.0,2025-09-18 00:00:00+00:00,BUY
acceltra_prime_set,pc,acceltra_prime_stock,1,6.0,6.0,9.0,15.0,2025-09-18 00:00:00+00:00,BUY
afuris_prime_set,pc,afuris_prime_barrel,2,4.0,,4.0,11.0,2025-09-18 00:00:00+00:00,SELL
afuris_prime_set,pc,afuris_prime_blueprint,1,3.0,,3.0,11.0,2025-09-18 00:00:00+00:00,SELL
afuris_prime_set,pc,afuris_prime_link,1,1.0,1.0,3.333,7.0,2025-09-18 00:00:00+00:00,BUY
afuris_prime_set,pc,afuris_prime_receiver,2,18.333,18.333,39.333,5.0,2025-09-18 00:00:00+00:00,BUY
akarius_prime_set,pc,akarius_prime_barrel,2,1.667,1.667,2.667,24.0,2025-09-18 00:00:00+00:00,BUY
akarius_prime_set,pc,akarius_prime_blueprint,1,6.333,6.333,7.667,27.0,2025-09-18 00:00:00+00:00,BUY
akarius_prime_set,pc,akarius_prime_link,1,2.0,2.0,2.0,22.0,2025-09-18 00:00:00+00:00,BUY
akarius_prime_set,pc,akarius_prime_receiver,2,7.333,7.333,11.333,10.0,2025-09-18 00:00:00+00:00,BUY
akbolto_prime_set,pc,akbolto_prime_barrel,2,3.0,3.0,8.0,13.5,2025-09-18 00:00:00+00:00,BUY
akbolto_prime_set,pc,akbolto_prime_blueprint,1,3.0,,3.0,11.0,2025-09-18 00:00:00+00:00,SELL
akbolto_prime_set,pc,akbolto_prime_link,1,5.1665,,5.1665,11.5,2025-09-18 00:00:00+00:00,SELL
akbolto_prime_set,pc,akbolto_prime_receiver,2,17.1665,17.1665,25.0,11.0,2025-09-18 00:00:00+00:00,BUY
akbronco_prime_set,pc,akbronco_prime_blueprint,1,1.0,,1.0,16.0,2025-09-18 00:00:00+00:00,SELL
akbronco_prime_set,pc,akbronco_prime_link,1,2.0,2.0,2.0,26.5,2025-09-18 00:00:00+00:00,BUY
akjagara_prime_set,pc,akjagara_prime_barrel,2,13.0,13.0,35.667,5.0,2025-09-18 00:00:00+00:00,BUY
akjagara_prime_set,pc,akjagara_prime_blueprint,1,2.667,,2.667,8.0,2025-09-18 00:00:00+00:00,SELL
akjagara_prime_set,pc,akjagara_prime_link,1,16.0,,16.0,3.0,2025-09-18 00:00:00+00:00,SELL
akjagara_prime_set,pc,akjagara_prime_receiver,2,7.667,,7.667,5.0,2025-09-18 00:00:00+00:00,SELL
aklex_prime_set,pc,aklex_prime_blueprint,1,3.5,3.5,6.3335,18.0,2025-09-18 00:00:00+00:00,BUY
aklex_prime_set,pc,aklex_prime_link,1,20.8335,20.8335,35.3335,15.0,2025-09-18 00:00:00+00:00,BUY
akmagnus_prime_set,pc,akmagnus_prime_blueprint,1,15.1665,15.1665,23.0,14.0,2025-09-18 00:00:00+00:00,BUY
akmagnus_prime_set,pc,akmagnus_prime_link,1,19.333,19.333,29.3335,9.5,2025-09-18 00:00:00+00:00,BUY
aksomati_prime_set,pc,aksomati_prime_barrel,2,5.333,5.333,21.6665,6.5,2025-09-18 00:00:00+00:00,BUY
aksomati_prime_set,pc,aksomati_prime_blueprint,1,2.0,2.0,3.3335,14.5,2025-09-18 00:00:00+00:00,BUY
aksomati_prime_set,pc,aksomati_prime_link,1,20.833,20.833,35.167,11.5,2025-09-18 00:00:00+00:00,BUY
aksomati_prime_set,pc,aksomati_prime_receiver,2,3.5,3.5,6.6665,11.5,2025-09-18 00:00:00+00:00,BUY
akstiletto_prime_set,pc,akstiletto_prime_barrel,2,7.0,7.0,13.333,6.0,2025-09-18 00:00:00+00:00,BUY
akstiletto_prime_set,pc,akstiletto_prime_blueprint,1,8.0,8.0,21.667,6.0,2025-09-18 00:00:00+00:00,BUY
akstiletto_prime_set,pc,akstiletto_prime_link,1,3.0,3.0,10.0,4.0,2025-09-18 00:00:00+00:00,BUY
akstiletto_prime_set,pc,akstiletto_prime_receiver,2,5.0,5.0,24.667,10.0,2025-09-18 00:00:00+00:00,BUY
akvasto_prime_set,pc,akvasto_prime_blueprint,1,11.5,11.5,15.1665,21.0,2025-09-18 00:00:00+00:00,BUY
