set_url,platform,latest_date,set_sell_med,parts_cost_buy,margin,roi_pct,buy_depth_med,min_part_eff_depth,vol_min,kpi_daily,kpi_norm,kpi_0_100,opportunity_score,kpi_30d_avg
acceltra_prime_set,pc,2025-09-21 00:00:00+00:00,19.0,17.333,1.6670000000000016,9.61749264408932,12.0,13.0,12.0,20.00400000000002,0.018571397807782622,2,4.337447938568213,31.152716666666667
afuris_prime_set,pc,2025-09-21 00:00:00+00:00,81.0,48.334,32.666,67.58389539454626,6.0,4.0,4.0,130.664,0.26298304347273915,26,57.97494281558032,135.41275833333333
akarius_prime_set,pc,2025-09-21 00:00:00+00:00,41.0,31.333,9.667000000000002,30.852455877190188,20.0,11.0,11.0,106.33700000000002,0.20925267925720156,21,26.700817413559623,123.67969999999997
akbolto_prime_set,pc,2025-09-21 00:00:00+00:00,83.0,49.334,33.666,68.24096971662543,4.0,3.0,3.0,100.99799999999999,0.19746057934571404,20,50.36662488628502,154.51317500000002
akbronco_prime_set,pc,2025-09-21 00:00:00+00:00,10.0,3.333,6.667,200.03000300029998,2.0,14.0,2.0,13.334,0.0038395554384959276,0,12.26194595213156,2.7680333333333333
akjagara_prime_set,pc,2025-09-21 00:00:00+00:00,94.0,34.334,59.666,173.7810916292887,2.0,3.0,2.0,119.332,0.23795437214908757,24,73.88001157703954,182.38078333333334
aklex_prime_set,pc,2025-09-21 00:00:00+00:00,38.0,14.667,23.333,159.08502079498192,2.0,14.0,2.0,46.666,0.07745901118858027,8,42.91405203256123,35.45534166666666
akmagnus_prime_set,pc,2025-09-21 00:00:00+00:00,36.333,22.667,13.665999999999997,60.290289848678675,5.0,17.0,5.0,68.32999999999998,0.12530768181650018,13,31.763911270460092,185.82317499999996
aksomati_prime_set,pc,2025-09-21 00:00:00+00:00,89.0,32.167,56.833,176.68107066248018,4.0,3.0,3.0,170.499,0.35096549336487315,35,85.02603196584793,190.66079999999994
akstiletto_prime_set,pc,2025-09-21 00:00:00+00:00,135.333,94.334,40.998999999999995,43.4615303072063,8.0,2.0,2.0,81.99799999999999,0.1554958109774312,16,65.98534497188567,317.85853333333336
akvasto_prime_set,pc,2025-09-21 00:00:00+00:00,36.333,22.667,13.665999999999997,60.290289848678675,3.0,11.0,3.0,40.99799999999999,0.06494025818271568,6,26.084795009996125,120.34165833333331
ankyros_prime_set,pc,2025-09-21 00:00:00+00:00,53.333,25.666,27.666999999999998,107.79630639756876,3.0,3.0,3.0,83.00099999999999,0.15771110901287266,16,38.35460608910401,88.23055000000001
ash_prime_set,pc,2025-09-21 00:00:00+00:00,94.333,48.333,46.0,95.17307015910455,8.0,12.0,8.0,368.0,0.7871804258650955,79,109.45042807733785,485.1843083333334
astilla_prime_set,pc,2025-09-21 00:00:00+00:00,37.0,25.667,11.332999999999998,44.15397202633731,5.0,10.0,5.0,56.66499999999999,0.09954352271039393,10,23.66654288326459,85.08638333333333
atlas_prime_set,pc,2025-09-21 00:00:00+00:00,74.333,54.5,19.833,36.39082568807339,8.0,4.0,4.0,79.332,0.14960749137375534,15,37.596367705764074,203.18949166666667
ballistica_prime_set,pc,2025-09-21 00:00:00+00:00,69.333,33.0,36.333,110.1,1.0,6.0,1.0,36.333,0.05463680321229258,5,44.98847686502493,151.493075
banshee_prime_set,pc,2025-09-21 00:00:00+00:00,69.667,34.833,34.834,100.0028708408693,6.0,8.0,6.0,209.00400000000002,0.43601040947122743,44,72.12123430421255,228.74563333333336
baruuk_prime_set,pc,2025-09-21 00:00:00+00:00,55.0,27.0,28.0,103.70370370370371,15.0,14.0,14.0,392.0,0.8401885543302948,84,76.72793884436078,291.7284333333334
baza_prime_set,pc,2025-09-21 00:00:00+00:00,71.333,39.0,32.333,82.9051282051282,4.0,6.0,4.0,129.332,0.2600410923429206,26,57.383941286235185,192.4373
bo_prime_set,pc,2025-09-21 00:00:00+00:00,77.667,56.334,21.333,37.86878261795718,8.0,7.0,7.0,149.331,0.3042123240585673,30,45.61211431892856,197.299675
boar_prime_set,pc,2025-09-21 00:00:00+00:00,87.0,57.0,30.0,52.63157894736842,13.0,14.0,13.0,390.0,0.8357712102915282,84,80.20528969714363,254.48885
boltor_prime_set,pc,2025-09-21 00:00:00+00:00,57.0,29.0,28.0,96.55172413793103,3.0,14.0,3.0,84.0,0.15991757236023663,16,56.345290706184656,158.96123333333335
braton_prime_set,pc,2025-09-21 00:00:00+00:00,9.333,5.0,4.333,86.66,13.0,10.0,10.0,43.33,0.07009088133191757,7,10.90979177001057,8.448133333333333
bronco_prime_set,pc,2025-09-21 00:00:00+00:00,7.0,7.333,-0.3330000000000002,-4.541115505250241,5.0,9.0,5.0,0.0,0.0,0,-0.6800809740822679,3.105733333333333
burston_prime_set,pc,2025-09-21 00:00:00+00:00,10.0,8.334,1.6660000000000004,19.990400767938567,7.0,11.0,7.0,11.662000000000003,0.00014665582208704713,0,3.798187554743664,10.077283333333332
caliban_prime_set,pc,2025-09-21 00:00:00+00:00,69.667,33.334,36.333,108.9968200635987,13.0,20.0,13.0,472.32899999999995,1.0,100,103.20428949032329,609.9214903846154
carrier_prime_set,pc,2025-09-21 00:00:00+00:00,86.0,46.667,39.333,84.28439796858594,9.0,9.0,9.0,353.99699999999996,0.756252391577671,76,90.5675794627348,365.2145583333333
cedo_prime_set,pc,2025-09-21 00:00:00+00:00,26.333,13.5,12.832999999999998,95.05925925925924,8.0,13.0,8.0,102.66399999999999,0.2011402269300066,20,31.001174430559722,108.47793333333333
cernos_prime_set,pc,2025-09-21 00:00:00+00:00,64.0,32.5,31.5,96.92307692307692,4.0,5.0,4.0,126.0,0.2526817971743355,25,53.539574306053865,141.1610916666667
chroma_prime_set,pc,2025-09-21 00:00:00+00:00,55.0,33.167,21.833,65.82747912081284,16.0,19.0,16.0,349.328,0.7459401019191704,75,63.62754835262285,313.0261333333334
cobra_and_crane_prime_set,pc,2025-09-21 00:00:00+00:00,19.667,17.834,1.833000000000002,10.278120444095558,6.0,7.0,6.0,10.998000000000012,0.0,0,3.6886042094441636,34.29994166666666
corinth_prime_set,pc,2025-09-21 00:00:00+00:00,69.0,42.5,26.5,62.35294117647059,5.0,10.0,5.0,132.5,0.2670381653003269,27,55.33957349391262,222.666675
corvas_prime_set,pc,2025-09-21 00:00:00+00:00,43.667,23.167,20.5,88.48793542538955,9.0,6.0,6.0,123.0,0.24605578111618553,25,43.50260302026208,139.5871416666667
daikyu_prime_set,pc,2025-09-21 00:00:00+00:00,26.333,11.166,15.166999999999998,135.8319899695504,1.0,10.0,1.0,15.166999999999998,0.007888051250025523,1,21.629089010877717,65.232075
dakra_prime_set,pc,2025-09-21 00:00:00+00:00,38.333,22.333,16.0,71.64286034119912,3.0,8.0,3.0,48.0,0.0804053796624376,8,28.396469878445025,76.80659166666668
destreza_prime_set,pc,2025-09-21 00:00:00+00:00,59.667,40.0,19.667,49.167500000000004,3.0,4.0,3.0,59.001000000000005,0.10470298054767337,10,29.423169121326193,93.88454166666665
dethcube_prime_set,pc,2025-09-21 00:00:00+00:00,83.333,32.333,51.0,157.73358488231838,8.0,8.0,8.0,408.0,0.8755273066404278,88,112.0584534441472,300.316025
dual_kamas_prime_set,pc,2025-09-21 00:00:00+00:00,99.667,67.666,32.001000000000005,47.29258416339078,1.0,5.0,1.0,32.001000000000005,0.045068836024324106,5,37.580662538831184,110.44734166666666
dual_keres_prime_set,pc,2025-09-21 00:00:00+00:00,50.0,27.334,22.666,82.92236774712812,4.0,3.0,3.0,67.998,0.12457440270606497,12,33.909877017541035,122.431625
dual_zoren_prime_set,pc,2025-09-21 00:00:00+00:00,37.0,18.666,18.334,98.22136504875174,6.0,5.0,5.0,91.67,0.17685808674890657,18,34.253270417361456,83.00036666666665
ember_prime_set,pc,2025-09-21 00:00:00+00:00,93.667,55.667,38.0,68.26306429302818,8.0,11.0,8.0,304.0,0.6458254166245639,65,88.91851733101247,493.62667500000003
epitaph_prime_set,pc,2025-09-21 00:00:00+00:00,14.333,10.5,3.833,36.50476190476191,6.0,9.0,6.0,22.998,0.025184161833816197,3,8.133925725690954,22.445791666666665
equinox_prime_set,pc,2025-09-21 00:00:00+00:00,54.333,35.667,18.665999999999997,52.33409033560433,6.0,15.0,6.0,111.99599999999998,0.2217515542148916,22,43.8673486629409,267.6335583333333
euphona_prime_set,pc,2025-09-21 00:00:00+00:00,49.0,27.665999999999997,21.334000000000003,77.1127015108798,3.0,9.0,3.0,64.00200000000001,0.11574854931660929,12,38.91169109753543,60.989908333333325
fang_prime_set,pc,2025-09-21 00:00:00+00:00,8.333,6.334,1.9990000000000006,31.559835806757196,3.0,6.0,3.0,5.997000000000002,0.0,0,3.3119938133154214,0.8888416666666666
fragor_prime_set,pc,2025-09-21 00:00:00+00:00,39.667,23.667,16.0,67.60468162420247,1.0,8.0,1.0,16.0,0.009727875042171822,1,21.479264743256415,56.027875
frost_prime_set,pc,2025-09-21 00:00:00+00:00,88.0,52.5,35.5,67.61904761904762,6.0,10.0,6.0,213.0,0.4448362628606831,44,76.98503888547857,398.0245166666666
fulmin_prime_set,pc,2025-09-21 00:00:00+00:00,37.667,17.667,20.0,113.20541121865624,7.0,6.0,6.0,120.0,0.23942976505803562,24,40.24663621870332,100.8381
galatine_prime_set,pc,2025-09-21 00:00:00+00:00,48.0,28.0,20.0,71.42857142857143,4.0,4.0,4.0,80.0,0.1510828842827034,15,32.18875824868201,93.43719166666666
gara_prime_set,pc,2025-09-21 00:00:00+00:00,67.667,42.0,25.667,61.11190476190477,9.0,12.0,9.0,231.00300000000001,0.4845989852256407,48,62.446222569881535,285.51559999999995
garuda_prime_set,pc,2025-09-21 00:00:00+00:00,79.0,47.0,32.0,68.08510638297872,12.0,14.0,12.0,384.0,0.8225191781752283,82,84.36167068654717,268.7164333333333
gauss_prime_set,pc,2025-09-21 00:00:00+00:00,29.667,22.333,7.334000000000003,32.839296108897166,38.0,12.0,12.0,88.00800000000004,0.168769929813925,17,22.786828040286732,151.88413333333332
glaive_prime_set,pc,2025-09-21 00:00:00+00:00,71.667,42.667,29.0,67.96821899828907,3.0,7.0,3.0,87.0,0.16654358841838654,17,49.86985765511704,238.53474166666672
gram_prime_set,pc,2025-09-21 00:00:00+00:00,24.667,21.000999999999998,3.666000000000004,17.456311604209343,2.0,16.0,2.0,7.332000000000008,0.0,0,6.949442041513198,51.75541666666667
grendel_prime_set,pc,2025-09-21 00:00:00+00:00,40.0,25.0,15.0,60.0,11.0,13.0,11.0,165.0,0.33882000593028444,34,38.426002199955846,175.82453333333336
guandao_prime_set,pc,2025-09-21 00:00:00+00:00,49.0,18.0,31.0,172.22222222222223,1.0,3.0,1.0,31.0,0.04285795533292141,4,31.156628701013812,109.62910833333333
gunsen_prime_set,pc,2025-09-21 00:00:00+00:00,38.333,20.334,17.999,88.51676994196912,8.0,5.0,5.0,89.99499999999999,0.1731585611164395,17,35.840192794458176,89.14141666666667
harrow_prime_set,pc,2025-09-21 00:00:00+00:00,58.333,35.334,22.998999999999995,65.09028131544686,11.0,12.0,11.0,252.98899999999995,0.5331588482438019,53,58.06921579112845,246.93552499999996
helios_prime_set,pc,2025-09-21 00:00:00+00:00,60.0,33.0,27.0,81.81818181818181,5.0,9.0,5.0,135.0,0.2725598453487852,27,55.14170060126493,151.1747
hikou_prime_set,pc,2025-09-21 00:00:00+00:00,46.333,46.333,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0,0.0,86.94984166666667
hildryn_prime_set,pc,2025-09-21 00:00:00+00:00,50.0,32.334,17.665999999999997,54.635986886868295,11.0,20.0,11.0,194.32599999999996,0.40359152157071915,40,48.79452161249034,191.89487499999998
