set_url,platform,date,buy_med,sell_med,buy_depth_med,sell_depth_med,eff_buy_price,n_parts,parts_cost_buy,min_part_eff_depth,margin,roi_pct,opportunity_score,daily_volume_cap,kpi_daily_potential
ballistica_prime_set,pc,2025-08-15 00:00:00+00:00,46.0,72.5,8.5,28.5,46.0,5,18.8335,11.0,53.6665,284.9523455544641,127.04969291312857,8.5,456.16525
ballistica_prime_set,pc,2025-08-22 00:00:00+00:00,50.3335,73.167,7.5,22.5,50.3335,5,25.1665,7.0,48.0005,190.73172670017684,101.2661960751094,7.0,336.00350000000003
ballistica_prime_set,pc,2025-08-23 00:00:00+00:00,50.1665,66.8335,6.5,29.0,50.1665,5,28.333,7.0,38.5005,135.88571630254475,78.81418444245647,6.5,250.25325
ballistica_prime_set,pc,2025-08-24 00:00:00+00:00,48.5,70.3335,6.5,25.5,48.5,5,26.75,8.0,43.5835,162.92897196261683,91.76450173445468,6.5,283.29275
ballistica_prime_set,pc,2025-08-25 00:00:00+00:00,48.5,71.6665,3.5,21.0,48.5,5,33.0,6.0,38.6665,117.17121212121212,66.49285693177872,3.5,135.33275
ballistica_prime_set,pc,2025-08-26 00:00:00+00:00,42.3335,67.6665,4.0,30.0,42.3335,5,24.25,9.0,43.4165,179.03711340206183,84.48460798646,4.0,173.666
ballistica_prime_set,pc,2025-08-27 00:00:00+00:00,49.167,72.0,4.5,30.0,49.167,5,26.5835,11.0,45.4165,170.84469689845204,94.64274546169031,4.5,204.37425
ballistica_prime_set,pc,2025-08-28 00:00:00+00:00,46.3335,72.6665,3.5,26.5,46.3335,5,20.083,7.0,52.5835,261.83090175770553,93.7747203814788,3.5,184.04225
ballistica_prime_set,pc,2025-08-29 00:00:00+00:00,47.667,66.3335,3.5,29.5,47.667,5,23.0,9.0,43.3335,188.40652173913045,81.85523481772658,3.5,151.66725
ballistica_prime_set,pc,2025-08-30 00:00:00+00:00,44.6665,70.6665,3.5,30.0,44.6665,5,25.6665,9.0,45.0,175.32581380398574,85.00318614461551,3.5,157.5
ballistica_prime_set,pc,2025-08-31 00:00:00+00:00,40.0,69.667,1.0,24.0,40.0,5,19.5,11.0,50.167,257.26666666666665,73.3679230420458,1.0,50.167
ballistica_prime_set,pc,2025-09-01 00:00:00+00:00,41.667,69.0,3.0,26.5,41.667,5,22.5,10.0,46.5,206.66666666666666,86.87559040074767,3.0,139.5
ballistica_prime_set,pc,2025-09-02 00:00:00+00:00,36.6665,71.0,2.0,21.0,36.6665,5,24.499000000000002,6.0,46.501,189.80774725498995,69.56865751313313,2.0,93.002
ballistica_prime_set,pc,2025-09-03 00:00:00+00:00,40.333,72.0,3.0,20.0,40.333,5,19.333,7.0,52.667,272.42021414162315,90.56882045248445,3.0,158.001
