set_url,platform,date,buy_med,sell_med,buy_depth_med,sell_depth_med,eff_buy_price,n_parts,parts_cost_buy,min_part_eff_depth,margin,roi_pct,opportunity_score,daily_volume_cap,kpi_daily_potential
cedo_prime_set,pc,2025-08-15 00:00:00+00:00,28.667,39.0,11.0,43.0,28.667,4,13.75,20.0,25.25,183.63636363636363,69.74197162432817,11.0,277.75
cedo_prime_set,pc,2025-08-22 00:00:00+00:00,21.5,32.6665,6.5,76.0,21.5,4,11.9165,22.0,20.75,174.12830948684598,53.15596970993892,6.5,134.875
cedo_prime_set,pc,2025-08-23 00:00:00+00:00,26.0,38.1665,6.5,57.0,26.0,4,12.250499999999999,18.0,25.916,211.55054895718544,63.99981799009336,6.5,168.454
cedo_prime_set,pc,2025-08-24 00:00:00+00:00,19.5,36.333,5.0,67.0,19.5,4,11.5,18.0,24.833,215.93913043478258,58.360541591493174,5.0,124.16499999999999
cedo_prime_set,pc,2025-08-25 00:00:00+00:00,18.0835,38.3335,4.0,60.0,18.0835,4,15.0,19.0,23.3335,155.55666666666667,53.059423212657435,4.0,93.334
cedo_prime_set,pc,2025-08-26 00:00:00+00:00,20.8335,35.5,5.5,70.5,20.8335,4,15.3335,24.0,20.1665,131.51922261714546,50.91755468723823,5.5,110.91575
cedo_prime_set,pc,2025-08-27 00:00:00+00:00,20.3335,33.5,5.0,81.0,20.3335,4,11.75,22.0,21.75,185.10638297872342,53.098508037638425,5.0,108.75
cedo_prime_set,pc,2025-08-28 00:00:00+00:00,20.0,31.333,4.5,77.0,20.0,4,12.75,22.0,18.583,145.7490196078431,44.4752139124505,4.5,83.62349999999999
cedo_prime_set,pc,2025-08-29 00:00:00+00:00,17.5,31.8335,4.5,80.0,17.5,4,12.000499999999999,21.0,19.833000000000002,165.26811382859051,47.04813598507174,4.5,89.2485
cedo_prime_set,pc,2025-08-30 00:00:00+00:00,20.8335,29.8335,6.5,86.0,20.8335,4,9.4165,18.0,20.417,216.8215366643658,50.41998317270166,6.5,132.71050000000002
cedo_prime_set,pc,2025-08-31 00:00:00+00:00,17.333,29.667,3.0,75.0,17.333,4,8.5,11.0,21.167,249.02352941176474,40.40222859480375,3.0,63.501000000000005
cedo_prime_set,pc,2025-09-01 00:00:00+00:00,20.333,29.667,6.0,78.0,20.333,4,11.333,18.0,18.334000000000003,161.77534633371573,44.605487380535635,6.0,110.00400000000002
cedo_prime_set,pc,2025-09-02 00:00:00+00:00,21.667,30.5,6.0,79.5,21.667,4,10.5,13.0,20.0,190.47619047619048,45.71236099983061,6.0,120.0
cedo_prime_set,pc,2025-09-03 00:00:00+00:00,19.5,28.833,6.0,77.0,19.5,4,10.9165,17.0,17.9165,164.12311638345625,43.1232329368208,6.0,107.499
cedo_prime_set,pc,2025-09-04 00:00:00+00:00,17.1665,26.5,3.5,76.0,17.1665,4,8.9165,12.0,17.5835,197.20181685638988,35.3838363975785,3.5,61.54225
cedo_prime_set,pc,2025-09-05 00:00:00+00:00,16.3335,27.8335,5.5,82.5,16.3335,4,10.9165,18.0,16.917,154.9672514084185,40.48792949238149,5.5,93.04350000000001
cedo_prime_set,pc,2025-09-06 00:00:00+00:00,19.667,28.0,8.0,76.5,19.667,4,11.5835,21.0,16.4165,141.72314067423488,43.278855213303174,8.0,131.332
cedo_prime_set,pc,2025-09-07 00:00:00+00:00,17.3335,28.1665,7.5,82.0,17.3335,4,10.417,19.0,17.749499999999998,170.38974752807908,45.44080422575601,7.5,133.12124999999997
cedo_prime_set,pc,2025-09-08 00:00:00+00:00,16.0,28.3335,6.0,69.0,16.0,4,11.25,19.0,17.0835,151.85333333333335,41.98488446069772,6.0,102.501
cedo_prime_set,pc,2025-09-09 00:00:00+00:00,19.5,28.5,6.5,68.5,19.5,4,11.333,15.0,17.167,151.47798464660727,40.967222759062714,6.5,111.58550000000001
cedo_prime_set,pc,2025-09-10 00:00:00+00:00,17.1665,26.667,6.5,70.0,17.1665,4,11.416,15.0,15.251000000000001,133.59320252277507,36.39489219423693,6.5,99.1315
cedo_prime_set,pc,2025-09-11 00:00:00+00:00,14.5,28.3335,4.0,61.5,14.5,4,9.75,12.0,18.5835,190.60000000000002,38.475769584094095,4.0,74.334
cedo_prime_set,pc,2025-09-12 00:00:00+00:00,17.1665,29.0,5.0,43.0,17.1665,4,10.6665,12.0,18.3335,171.8792481132518,39.757893250899194,5.0,91.6675
cedo_prime_set,pc,2025-09-13 00:00:00+00:00,17.8335,30.0,6.5,47.5,17.8335,4,9.8335,12.0,20.1665,205.0795749224589,46.0929164051542,6.5,131.08225
cedo_prime_set,pc,2025-09-14 00:00:00+00:00,17.5,30.3335,4.5,51.0,17.5,4,10.833,12.0,19.500500000000002,180.0101541585895,41.381585863249796,4.5,87.75225
cedo_prime_set,pc,2025-09-15 00:00:00+00:00,19.3335,29.667,5.0,45.5,19.3335,4,12.084,11.0,17.583000000000002,145.506454816286,37.45457233762211,5.0,87.915
cedo_prime_set,pc,2025-09-16 00:00:00+00:00,17.5,29.3335,7.0,57.5,17.5,4,9.9165,16.0,19.417,195.8049715121263,47.562697961172354,7.0,135.919
