set_url,platform,date,buy_med,sell_med,buy_depth_med,sell_depth_med,eff_buy_price,n_parts,parts_cost_buy,min_part_eff_depth,margin,roi_pct,opportunity_score,daily_volume_cap,kpi_daily_potential
ember_prime_set,pc,2025-08-15 00:00:00+00:00,77.0,89.8335,13.5,56.0,77.0,4,48.8335,17.0,41.0,83.95875781993918,114.05683677383148,13.5,553.5
ember_prime_set,pc,2025-08-22 00:00:00+00:00,80.0,90.6665,16.0,46.5,80.0,4,51.9995,18.0,38.667,74.3603303877922,111.69871687537831,16.0,618.672
ember_prime_set,pc,2025-08-23 00:00:00+00:00,80.8335,93.167,19.5,54.5,80.8335,4,49.4995,13.0,43.667500000000004,88.21806280871525,123.51770869933017,13.0,567.6775
ember_prime_set,pc,2025-08-24 00:00:00+00:00,81.0,91.3335,14.0,45.5,81.0,4,54.0,13.0,37.3335,69.1361111111111,99.81147276361038,13.0,485.3355
ember_prime_set,pc,2025-08-25 00:00:00+00:00,80.8335,89.8335,16.5,53.5,80.8335,4,53.082499999999996,15.0,36.751000000000005,69.23373993312298,103.53973105939947,15.0,551.2650000000001
ember_prime_set,pc,2025-08-26 00:00:00+00:00,81.833,90.0,16.0,60.5,81.833,4,49.9165,10.0,40.0835,80.30110284174572,104.76521640863204,10.0,400.83500000000004
ember_prime_set,pc,2025-08-27 00:00:00+00:00,82.0,93.0,19.5,61.0,82.0,4,51.6665,16.0,41.3335,80.00058064703435,120.96541867811291,16.0,661.336
ember_prime_set,pc,2025-08-28 00:00:00+00:00,82.167,92.333,16.5,55.0,82.167,4,48.0835,15.0,44.2495,92.02637079247559,124.66548745647455,15.0,663.7425
ember_prime_set,pc,2025-08-29 00:00:00+00:00,81.3335,92.3335,15.5,53.0,81.3335,4,46.417,15.0,45.9165,98.92173126225305,128.01367706457614,15.0,688.7475
ember_prime_set,pc,2025-08-30 00:00:00+00:00,81.6665,93.6665,14.0,52.0,81.6665,4,51.6665,16.0,42.0,81.2905848083381,116.36103741903935,14.0,588.0
ember_prime_set,pc,2025-08-31 00:00:00+00:00,79.333,95.0,15.0,42.0,79.333,4,53.0,14.0,42.0,79.24528301886792,115.09190826654117,14.0,588.0
ember_prime_set,pc,2025-09-01 00:00:00+00:00,80.6665,94.6665,11.0,47.0,80.6665,4,53.75,14.0,40.9165,76.12372093023257,106.21826674958231,11.0,450.0815
ember_prime_set,pc,2025-09-02 00:00:00+00:00,82.5,94.5,13.0,45.0,82.5,4,54.1665,11.0,40.3335,74.46207526792391,103.32367731546128,11.0,443.6685
ember_prime_set,pc,2025-09-03 00:00:00+00:00,83.0,95.333,15.0,43.5,83.0,4,47.917,13.0,47.416,98.95444205605524,128.29173377223893,13.0,616.4079999999999
ember_prime_set,pc,2025-09-04 00:00:00+00:00,81.667,92.1665,12.0,51.0,81.667,4,56.8335,9.0,35.333,62.169319151556735,85.96300237899342,9.0,317.99699999999996
ember_prime_set,pc,2025-09-05 00:00:00+00:00,82.3335,94.0,12.0,47.5,82.3335,4,57.667,13.0,36.333,63.00483812232299,94.53659025314862,12.0,435.996
ember_prime_set,pc,2025-09-06 00:00:00+00:00,80.5,95.1665,13.5,46.0,80.5,4,57.583,9.0,37.5835,65.26839518607923,93.46252937860774,9.0,338.2515
ember_prime_set,pc,2025-09-07 00:00:00+00:00,81.667,91.5,13.5,54.5,81.667,4,54.333,14.0,37.167,68.4059411407432,100.01970393273395,13.5,501.7545
ember_prime_set,pc,2025-09-08 00:00:00+00:00,81.6665,96.833,10.0,44.0,81.6665,4,47.917,10.0,48.916,102.08485506187782,117.29544516420509,10.0,489.15999999999997
ember_prime_set,pc,2025-09-09 00:00:00+00:00,87.0,92.1665,15.0,47.0,87.0,4,50.5005,11.0,41.666,82.50611380085344,109.4957878406032,11.0,458.32599999999996
ember_prime_set,pc,2025-09-10 00:00:00+00:00,79.5,96.5,12.5,50.0,79.5,4,49.0005,13.0,47.4995,96.93676595136783,124.4895651230539,12.5,593.74375
ember_prime_set,pc,2025-09-11 00:00:00+00:00,83.5,97.833,11.5,32.5,83.5,4,47.833,13.0,50.0,104.53034515919973,129.11308256017716,11.5,575.0
ember_prime_set,pc,2025-09-12 00:00:00+00:00,76.667,94.667,7.0,27.0,76.667,4,51.333,8.0,43.334,84.41743128202133,92.65248028390056,7.0,303.338
