set_url,platform,date,buy_med,sell_med,buy_depth_med,sell_depth_med,eff_buy_price,n_parts,parts_cost_buy,min_part_eff_depth,margin,roi_pct,opportunity_score,daily_volume_cap,kpi_daily_potential
equinox_prime_set,pc,2025-08-15 00:00:00+00:00,47.0,54.5,14.0,83.0,47.0,4,25.3335,23.0,29.1665,115.13016361734462,85.79343999351714,14.0,408.331
equinox_prime_set,pc,2025-08-22 00:00:00+00:00,45.5,53.5,13.5,90.5,45.5,4,28.667,19.0,24.833,86.62573691003591,70.37998981506495,13.5,335.2455
equinox_prime_set,pc,2025-08-23 00:00:00+00:00,47.167,50.6665,14.5,86.5,47.167,4,31.833,17.0,18.8335,59.163446737662184,53.024359267661694,14.5,273.08575
equinox_prime_set,pc,2025-08-24 00:00:00+00:00,41.667,51.6665,6.0,84.0,41.667,4,27.333,17.0,24.3335,89.02608568397176,58.56831349136991,6.0,146.001
equinox_prime_set,pc,2025-08-25 00:00:00+00:00,43.833,50.0,11.0,68.5,43.833,4,26.833,21.0,23.167,86.33771848097493,64.5184736308901,11.0,254.83700000000002
equinox_prime_set,pc,2025-08-26 00:00:00+00:00,44.0,50.833,13.5,78.0,44.0,4,25.667,18.0,25.165999999999997,98.0480772976974,70.68392308505808,13.5,339.741
equinox_prime_set,pc,2025-08-27 00:00:00+00:00,44.5,56.6665,13.5,92.0,44.5,4,28.5835,24.0,28.083,98.24898980180872,82.68867985193114,13.5,379.1205
equinox_prime_set,pc,2025-08-28 00:00:00+00:00,48.5,53.3335,13.0,89.5,48.5,4,30.5,20.0,22.8335,74.8639344262295,64.85881000955872,13.0,296.8355
equinox_prime_set,pc,2025-08-29 00:00:00+00:00,45.8335,54.3335,12.0,85.0,45.8335,4,26.5835,25.0,27.75,104.38806026294506,80.69758530995266,12.0,333.0
equinox_prime_set,pc,2025-08-30 00:00:00+00:00,45.5,52.6665,12.0,94.0,45.5,4,27.3335,23.0,25.333,92.68114218815738,72.67154415793702,12.0,303.996
equinox_prime_set,pc,2025-08-31 00:00:00+00:00,45.0,51.667,9.0,98.0,45.0,4,30.167,19.0,21.5,71.26993071899757,56.8571955468461,9.0,193.5
equinox_prime_set,pc,2025-09-01 00:00:00+00:00,45.6665,53.8335,12.5,78.0,45.6665,4,28.8335,15.0,25.0,86.70470112889521,67.1843885363775,12.5,312.5
equinox_prime_set,pc,2025-09-02 00:00:00+00:00,46.3335,51.5,12.0,82.0,46.3335,4,27.5,18.0,24.0,87.27272727272727,66.08317657393755,12.0,288.0
equinox_prime_set,pc,2025-09-03 00:00:00+00:00,45.667,56.0,9.0,68.0,45.667,4,22.8335,14.0,33.1665,145.25368427967678,83.03169456299479,9.0,298.4985
equinox_prime_set,pc,2025-09-04 00:00:00+00:00,46.6665,53.3335,8.5,75.0,46.6665,4,29.0,14.0,24.3335,83.90862068965517,60.28065545144439,8.5,206.83475
equinox_prime_set,pc,2025-09-05 00:00:00+00:00,47.0,55.6665,13.0,81.5,47.0,4,28.5,17.0,27.1665,95.32105263157895,75.09317170658,13.0,353.1645
