set_url,platform,date,buy_med,sell_med,buy_depth_med,sell_depth_med,eff_buy_price,n_parts,parts_cost_buy,min_part_eff_depth,margin,roi_pct,opportunity_score,daily_volume_cap,kpi_daily_potential
fang_prime_set,pc,2025-08-15 00:00:00+00:00,5.0,7.1665,3.0,50.0,5.0,3,6.667,6.0,0.4995000000000003,7.492125393730318,0.8275842469990262,3.0,1.4985000000000008
fang_prime_set,pc,2025-08-22 00:00:00+00:00,4.6665,5.0,6.0,45.0,4.6665,3,8.499500000000001,6.0,-3.499500000000001,-41.173010177069244,-6.809712566619071,6.0,0.0
fang_prime_set,pc,2025-08-23 00:00:00+00:00,4.0,6.3335,2.0,41.0,4.0,3,8.0,4.0,-1.6665,-20.83125,-2.2371996684148012,2.0,0.0
fang_prime_set,pc,2025-08-24 00:00:00+00:00,4.333,5.3335,1.5,43.0,4.333,3,9.333,5.0,-3.9995000000000003,-42.853316189863925,-5.274199163465558,1.5,0.0
fang_prime_set,pc,2025-08-25 00:00:00+00:00,4.8335,7.8335,2.0,29.0,4.8335,3,9.333,3.0,-1.4995000000000003,-16.066645237329904,-1.856720366033768,2.0,0.0
fang_prime_set,pc,2025-08-26 00:00:00+00:00,3.3335,9.1665,2.5,38.0,3.3335,3,7.666,6.0,1.5004999999999988,19.573441168797274,2.376351372609449,2.5,3.751249999999997
fang_prime_set,pc,2025-08-27 00:00:00+00:00,4.8335,5.0,5.0,44.5,4.8335,3,8.334,7.0,-3.3339999999999996,-40.004799616030716,-6.44745291197711,5.0,0.0
fang_prime_set,pc,2025-08-28 00:00:00+00:00,6.6665,4.8335,2.5,43.5,6.6665,3,8.0,7.0,-3.1665,-39.581250000000004,-5.210291917778631,2.5,0.0
fang_prime_set,pc,2025-08-29 00:00:00+00:00,7.0,5.5,5.5,41.5,7.0,3,8.333,10.0,-2.833,-33.99735989439578,-6.034738294516489,5.5,0.0
fang_prime_set,pc,2025-08-30 00:00:00+00:00,2.75,6.1665,1.5,47.0,2.75,3,8.0,8.0,-1.8335,-22.91875,-2.74304065612201,1.5,0.0
fang_prime_set,pc,2025-08-31 00:00:00+00:00,2.0,7.0,0.0,37.0,2.0,3,6.334,7.0,0.6660000000000004,10.51468266498264,0.0,0.0,0.0
fang_prime_set,pc,2025-09-01 00:00:00+00:00,5.6665,7.167,2.5,37.5,5.6665,3,5.0,7.0,2.167,43.339999999999996,3.5656726940869388,2.5,5.4174999999999995
fang_prime_set,pc,2025-09-02 00:00:00+00:00,5.333,7.0,6.0,41.5,5.333,3,7.667,8.0,-0.6669999999999998,-8.699621755575842,-1.3809744296064117,6.0,0.0
fang_prime_set,pc,2025-09-03 00:00:00+00:00,3.5,6.0,2.0,44.0,3.5,3,7.666,7.0,-1.6660000000000004,-21.732324549960868,-2.592940299255908,2.0,0.0
fang_prime_set,pc,2025-09-04 00:00:00+00:00,2.5,6.6665,1.5,41.5,2.5,3,8.334,8.0,-1.6674999999999995,-20.00839932805375,-2.494693370102782,1.5,0.0
fang_prime_set,pc,2025-09-05 00:00:00+00:00,3.9165,7.333,3.5,48.5,3.9165,3,5.0,8.0,2.333,46.660000000000004,4.290853443276276,3.5,8.165500000000002
fang_prime_set,pc,2025-09-06 00:00:00+00:00,5.0,5.8335,2.0,47.0,5.0,3,9.0,5.0,-3.1665,-35.18333333333334,-4.515626712793849,2.0,0.0
fang_prime_set,pc,2025-09-07 00:00:00+00:00,4.1665,5.1665,2.0,53.5,4.1665,3,9.333,5.0,-4.1665,-44.6426658094932,-5.941689151699217,2.0,0.0
fang_prime_set,pc,2025-09-08 00:00:00+00:00,5.8335,6.0,3.5,42.0,5.8335,3,7.667,7.0,-1.6669999999999998,-21.742532933350724,-2.972842410184281,3.5,0.0
fang_prime_set,pc,2025-09-09 00:00:00+00:00,4.833,6.1665,5.5,41.0,4.833,3,7.0,6.0,-0.8334999999999999,-11.907142857142857,-1.5909319947923146,5.5,0.0
fang_prime_set,pc,2025-09-10 00:00:00+00:00,4.8335,7.1665,4.0,40.0,4.8335,3,9.334,6.0,-2.1674999999999995,-23.221555603171197,-3.8468342788455985,4.0,0.0
fang_prime_set,pc,2025-09-11 00:00:00+00:00,4.1665,5.333,3.0,30.5,4.1665,3,7.0,8.0,-1.6669999999999998,-23.814285714285713,-2.9585572054604907,3.0,0.0
fang_prime_set,pc,2025-09-12 00:00:00+00:00,3.0,6.5,2.0,36.5,3.0,3,8.334,6.0,-1.8339999999999996,-22.006239500839932,-2.7437886901160433,2.0,0.0
fang_prime_set,pc,2025-09-13 00:00:00+00:00,4.0,5.6665,2.0,35.5,4.0,3,8.334,6.0,-2.6674999999999995,-32.00743940484761,-3.9907613581704178,2.0,0.0
fang_prime_set,pc,2025-09-14 00:00:00+00:00,4.667,7.5,3.0,35.5,4.667,3,7.667,6.0,-0.16699999999999982,-2.1781661666884027,-0.2766898283260003,3.0,0.0
fang_prime_set,pc,2025-09-15 00:00:00+00:00,4.8335,6.5,2.5,37.0,4.8335,3,6.667,6.0,-0.16699999999999982,-2.504874756262184,-0.26447895983057507,2.5,0.0
fang_prime_set,pc,2025-09-16 00:00:00+00:00,3.75,6.0,2.5,42.5,3.75,3,9.1665,7.0,-3.166499999999999,-34.54426444117165,-5.21029191777863,2.5,0.0
fang_prime_set,pc,2025-09-17 00:00:00+00:00,5.1665,5.6665,4.5,39.5,5.1665,3,6.667,7.0,-1.0004999999999997,-15.006749662516869,-1.8899041719486176,4.5,0.0
fang_prime_set,pc,2025-09-18 00:00:00+00:00,5.0,7.5,2.0,32.5,5.0,3,8.334,8.0,-0.8339999999999996,-10.007199424046073,-1.342271218970039,2.0,0.0
fang_prime_set,pc,2025-09-19 00:00:00+00:00,4.4165,6.5,2.5,35.0,4.4165,3,8.667,6.0,-2.167,-25.002884504442136,-3.4318916524123155,2.5,0.0
fang_prime_set,pc,2025-09-20 00:00:00+00:00,5.1665,7.8335,4.5,38.5,5.1665,3,7.0,4.0,0.8334999999999999,11.907142857142857,1.3809639036510268,4.0,3.3339999999999996
fang_prime_set,pc,2025-09-21 00:00:00+00:00,5.0,7.5,2.0,32.0,5.0,3,6.667,6.0,0.8330000000000002,12.494375281235941,1.246224634060341,2.0,1.6660000000000004
fang_prime_set,pc,2025-09-22 00:00:00+00:00,3.8335,6.6665,3.0,35.5,3.8335,3,8.8335,5.0,-2.1670000000000007,-24.531612611082817,-3.431891652412317,3.0,0.0
fang_prime_set,pc,2025-09-23 00:00:00+00:00,4.1665,6.8335,3.0,33.0,4.1665,3,11.1675,4.0,-4.3340000000000005,-38.80904410118648,-6.4839586602851345,3.0,0.0
fang_prime_set,pc,2025-09-24 00:00:00+00:00,5.167,5.5,3.5,39.0,5.167,3,6.333,5.0,-0.8330000000000002,-13.153323859150483,-1.370653139905132,3.5,0.0
fang_prime_set,pc,2025-09-25 00:00:00+00:00,5.667,6.0,3.0,32.0,5.667,3,6.3325,5.0,-0.3324999999999996,-5.250690880378991,-0.5265823601417137,3.0,0.0
fang_prime_set,pc,2025-09-26 00:00:00+00:00,5.25,6.333,1.5,39.5,5.25,3,6.8335,6.0,-0.5004999999999997,-7.324211604595005,-0.6938403277405049,1.5,0.0
fang_prime_set,pc,2025-09-27 00:00:00+00:00,5.0,6.0,2.5,45.0,5.0,3,6.833,6.0,-0.8330000000000002,-12.190838577491586,-1.3192273864602952,2.5,0.0
fang_prime_set,pc,2025-09-28 00:00:00+00:00,3.5,6.3335,3.5,44.0,3.5,3,6.333,6.0,0.0004999999999997229,0.007895152376436489,0.0008598251319842999,3.5,0.0017499999999990301
fang_prime_set,pc,2025-09-29 00:00:00+00:00,5.25,7.0,1.5,30.0,5.25,3,10.001,5.0,-3.0009999999999994,-30.006999300069992,-3.9574626052156856,1.5,0.0
fang_prime_set,pc,2025-09-30 00:00:00+00:00,4.0,8.333,1.0,12.0,4.0,3,9.667,1.0,-1.3339999999999996,-13.799524154339503,-0.9246583388669668,1.0,0.0
