set_url,platform,date,buy_med,sell_med,buy_depth_med,sell_depth_med,eff_buy_price,n_parts,parts_cost_buy,min_part_eff_depth,margin,roi_pct,opportunity_score,daily_volume_cap,kpi_daily_potential
fulmin_prime_set,pc,2025-08-15 00:00:00+00:00,17.5,25.8335,11.0,35.0,17.5,4,13.5,14.0,12.3335,91.35925925925928,32.01747444077508,11.0,135.6685
fulmin_prime_set,pc,2025-08-22 00:00:00+00:00,16.0,28.5,11.0,23.0,16.0,4,11.7495,10.0,16.750500000000002,142.56351334099327,40.89317512112471,10.0,167.50500000000002
fulmin_prime_set,pc,2025-08-23 00:00:00+00:00,15.6665,27.5,10.5,31.5,15.6665,4,15.333499999999999,11.0,12.166500000000001,79.34587667525354,29.973459652253545,10.5,127.74825000000001
fulmin_prime_set,pc,2025-08-24 00:00:00+00:00,15.6665,29.3335,7.5,33.0,15.6665,4,13.8335,13.0,15.5,112.04684280912278,36.98910425615844,7.5,116.25
fulmin_prime_set,pc,2025-08-25 00:00:00+00:00,15.8335,25.0,6.5,36.5,15.8335,4,12.167,10.0,12.833,105.4738226349963,28.28544999762021,6.5,83.4145
fulmin_prime_set,pc,2025-08-26 00:00:00+00:00,14.3335,19.8335,6.0,38.5,14.3335,4,13.917000000000002,8.0,5.916499999999999,42.51275418552848,12.249677980159426,6.0,35.498999999999995
fulmin_prime_set,pc,2025-08-27 00:00:00+00:00,12.3335,24.833,4.0,33.5,12.3335,4,11.9165,10.0,12.9165,108.39172575840222,25.719753887972608,4.0,51.666
fulmin_prime_set,pc,2025-08-28 00:00:00+00:00,15.167,26.6665,6.5,35.5,15.167,4,15.583,12.0,11.083499999999999,71.12558557402296,25.332647657081125,6.5,72.04275
fulmin_prime_set,pc,2025-08-29 00:00:00+00:00,18.8335,26.3335,6.5,38.5,18.8335,4,13.499500000000001,12.0,12.834,95.07018778473275,29.3336220535913,6.5,83.42099999999999
fulmin_prime_set,pc,2025-08-30 00:00:00+00:00,20.1665,27.0,9.5,35.0,20.1665,4,14.5005,16.0,12.4995,86.20047584566049,32.37282014527379,9.5,118.74525
fulmin_prime_set,pc,2025-08-31 00:00:00+00:00,17.333,28.0,8.0,39.0,17.333,4,10.667,11.0,17.333,162.4917971313396,40.55854370785366,8.0,138.664
fulmin_prime_set,pc,2025-09-01 00:00:00+00:00,17.0,29.6665,8.0,32.5,17.0,4,12.4165,9.0,17.25,138.92803930254098,38.80803687520172,8.0,138.0
fulmin_prime_set,pc,2025-09-02 00:00:00+00:00,17.3335,28.6665,7.0,32.0,17.3335,4,14.083,10.0,14.583499999999999,103.55393027053894,32.62547992036338,7.0,102.08449999999999
fulmin_prime_set,pc,2025-09-03 00:00:00+00:00,15.667,30.0,7.0,32.0,15.667,4,12.0,9.0,18.0,150.0,39.42411076243382,7.0,126.0
fulmin_prime_set,pc,2025-09-04 00:00:00+00:00,17.167,26.3335,6.0,36.5,17.167,4,11.5,9.0,14.8335,128.98695652173913,31.47784692200281,6.0,89.001
fulmin_prime_set,pc,2025-09-05 00:00:00+00:00,17.8335,32.3335,8.0,31.5,17.8335,4,16.0,6.0,16.3335,102.08437500000001,33.817310113907546,6.0,98.001
fulmin_prime_set,pc,2025-09-06 00:00:00+00:00,11.1665,26.8335,4.5,40.5,11.1665,4,12.333,11.0,14.5005,117.5747993189005,30.217368810173404,4.5,65.25225
fulmin_prime_set,pc,2025-09-07 00:00:00+00:00,16.6665,28.1665,7.5,46.5,16.6665,4,12.500499999999999,10.0,15.666,125.3229870805168,35.530800470779674,7.5,117.495
fulmin_prime_set,pc,2025-09-08 00:00:00+00:00,16.333,24.6665,6.0,39.5,16.333,4,14.333499999999999,15.0,10.333,72.0898594202393,24.283794799859017,6.0,61.998000000000005
fulmin_prime_set,pc,2025-09-09 00:00:00+00:00,18.5,29.5,5.5,37.5,18.5,4,13.9165,10.0,15.5835,111.97858656989905,33.19532093632111,5.5,85.70925
