set_url,platform,date,buy_med,sell_med,buy_depth_med,sell_depth_med,eff_buy_price,n_parts,parts_cost_buy,min_part_eff_depth,margin,roi_pct,opportunity_score,daily_volume_cap,kpi_daily_potential
gara_prime_set,pc,2025-08-15 00:00:00+00:00,50.0,54.667,18.0,84.0,50.0,4,33.0835,22.0,21.5835,65.23946982634848,65.60816649624441,18.0,388.50300000000004
gara_prime_set,pc,2025-08-22 00:00:00+00:00,50.3335,61.3335,10.0,64.0,50.3335,4,29.0005,19.0,32.333,111.49118118653126,87.09051375517816,10.0,323.33
gara_prime_set,pc,2025-08-23 00:00:00+00:00,51.1665,62.1665,13.0,68.0,51.1665,4,46.4995,22.0,15.667000000000002,33.69283540683234,45.20626512619471,13.0,203.67100000000002
gara_prime_set,pc,2025-08-24 00:00:00+00:00,51.167,63.3335,12.5,70.5,51.167,4,31.500500000000002,21.0,31.833,101.05553880097139,90.56542736036647,12.5,397.91249999999997
gara_prime_set,pc,2025-08-25 00:00:00+00:00,49.6665,65.0,10.0,64.5,49.6665,4,37.5835,15.0,27.4165,72.9482352628148,70.83888934380803,10.0,274.16499999999996
gara_prime_set,pc,2025-08-26 00:00:00+00:00,50.8335,63.0,16.0,69.0,50.8335,4,39.4165,21.0,23.5835,59.83154262808722,69.84663776074827,16.0,377.336
gara_prime_set,pc,2025-08-27 00:00:00+00:00,55.1665,60.0,15.5,73.0,55.1665,4,32.667,17.0,27.333,83.6715951878042,77.81179650069215,15.5,423.6615
gara_prime_set,pc,2025-08-28 00:00:00+00:00,54.0,62.8335,10.0,77.5,54.0,4,35.5005,15.0,27.333,76.99328178476358,70.62314162764413,10.0,273.33
gara_prime_set,pc,2025-08-29 00:00:00+00:00,53.3335,64.833,15.5,72.5,53.3335,4,31.75,18.0,33.083,104.19842519685038,95.0722934973836,15.5,512.7864999999999
gara_prime_set,pc,2025-08-30 00:00:00+00:00,53.3335,68.0,10.5,70.5,53.3335,4,36.333,21.0,31.667,87.15768034569126,87.49977491772509,10.5,332.50350000000003
gara_prime_set,pc,2025-08-31 00:00:00+00:00,54.0,65.667,11.0,60.0,54.0,4,33.0,17.0,32.667,98.9909090909091,87.7478528334703,11.0,359.337
gara_prime_set,pc,2025-09-01 00:00:00+00:00,56.0,68.3335,12.0,64.5,56.0,4,37.0005,17.0,31.333,84.68263942379156,85.43668540102318,12.0,375.996
gara_prime_set,pc,2025-09-02 00:00:00+00:00,57.5,67.0,9.5,70.0,57.5,4,37.833,14.0,29.167,77.09407131340365,73.74380883140277,9.5,277.0865
gara_prime_set,pc,2025-09-03 00:00:00+00:00,56.6665,68.167,11.5,66.5,56.6665,4,38.167,13.0,30.0,78.60193360756675,77.46784953610629,11.5,345.0
gara_prime_set,pc,2025-09-04 00:00:00+00:00,54.1665,65.1665,7.5,68.5,54.1665,4,37.9995,9.0,27.167,71.49304596113107,60.33583049081425,7.5,203.7525
gara_prime_set,pc,2025-09-05 00:00:00+00:00,51.6665,66.0,8.5,67.5,51.6665,4,39.4165,14.0,26.5835,67.44256846751995,65.85451349758448,8.5,225.95975
gara_prime_set,pc,2025-09-06 00:00:00+00:00,46.6665,67.3335,6.0,67.0,46.6665,4,43.9165,12.0,23.417,53.3216444844193,52.682191275744856,6.0,140.502
gara_prime_set,pc,2025-09-07 00:00:00+00:00,51.3335,66.0,9.0,73.0,51.3335,4,41.0835,17.0,24.9165,60.64843550330425,64.60754505028353,9.0,224.24849999999998
gara_prime_set,pc,2025-09-08 00:00:00+00:00,51.5,67.6665,8.0,68.5,51.5,4,40.2495,20.0,27.417,68.1176163679052,71.65911006462672,8.0,219.336
gara_prime_set,pc,2025-09-09 00:00:00+00:00,53.1665,63.0,8.0,73.5,53.1665,4,41.833,16.0,21.167,50.598809552267355,53.14426532824999,8.0,169.336
gara_prime_set,pc,2025-09-10 00:00:00+00:00,51.333,64.0,9.0,75.5,51.333,4,41.5835,15.0,22.4165,53.90719876874241,56.830303076271086,9.0,201.74849999999998
gara_prime_set,pc,2025-09-11 00:00:00+00:00,51.1665,65.8335,8.5,59.0,51.1665,4,36.2495,13.0,29.584000000000003,81.61216016772647,72.28498678883629,8.5,251.46400000000003
gara_prime_set,pc,2025-09-12 00:00:00+00:00,52.8335,69.5,8.5,56.5,52.8335,4,38.0,12.0,31.5,82.89473684210526,75.81736597604751,8.5,267.75
gara_prime_set,pc,2025-09-13 00:00:00+00:00,60.0,68.333,10.0,53.0,60.0,4,40.334,10.0,27.998999999999995,69.41786086180392,67.13866974308156,10.0,279.98999999999995
