set_url,platform,date,buy_med,sell_med,buy_depth_med,sell_depth_med,eff_buy_price,n_parts,parts_cost_buy,min_part_eff_depth,margin,roi_pct,opportunity_score,daily_volume_cap,kpi_daily_potential
garuda_prime_set,pc,2025-08-15 00:00:00+00:00,68.333,77.3335,16.5,53.5,68.333,4,44.0,13.0,33.3335,75.75795454545454,91.67391482732621,13.0,433.3355
garuda_prime_set,pc,2025-08-22 00:00:00+00:00,68.167,79.667,9.5,36.5,68.167,4,59.5,15.0,20.167,33.89411764705883,51.62988809942938,9.5,191.5865
garuda_prime_set,pc,2025-08-23 00:00:00+00:00,72.0,76.3335,16.0,45.5,72.0,4,54.0005,15.0,22.333,41.35702447199562,62.596526431163696,15.0,334.995
garuda_prime_set,pc,2025-08-24 00:00:00+00:00,68.0,77.5,11.5,38.5,68.0,4,54.8335,15.0,22.6665,41.33695642262486,60.033992644586824,11.5,260.66474999999997
garuda_prime_set,pc,2025-08-25 00:00:00+00:00,68.0,74.0,12.5,44.0,68.0,4,53.332499999999996,16.0,20.667500000000004,38.752168002625055,56.16354469401066,12.5,258.34375000000006
garuda_prime_set,pc,2025-08-26 00:00:00+00:00,68.1665,76.8335,10.5,42.5,68.1665,4,53.1665,13.0,23.667,44.51487308737646,60.12099274387782,10.5,248.50350000000003
garuda_prime_set,pc,2025-08-27 00:00:00+00:00,68.6665,78.3335,12.0,42.5,68.6665,4,55.5835,11.0,22.75,40.92941250550973,57.440526077141286,11.0,250.25
garuda_prime_set,pc,2025-08-28 00:00:00+00:00,67.333,79.0,11.0,44.5,67.333,4,53.4165,11.0,25.5835,47.894377205545105,63.57260927485131,11.0,281.4185
garuda_prime_set,pc,2025-08-29 00:00:00+00:00,71.0,77.6665,9.5,42.5,71.0,4,54.3335,13.0,23.333,42.9440400489569,58.199124568555156,9.5,221.6635
garuda_prime_set,pc,2025-08-30 00:00:00+00:00,70.8335,77.8335,10.0,40.0,70.8335,4,54.5005,16.0,23.333,42.81245126191502,60.98486395805285,10.0,233.32999999999998
garuda_prime_set,pc,2025-08-31 00:00:00+00:00,71.0,79.667,13.0,24.0,71.0,4,52.834,12.0,26.833,50.787371768179575,69.8180807052194,12.0,321.996
garuda_prime_set,pc,2025-09-01 00:00:00+00:00,65.1665,79.3335,9.0,35.5,65.1665,4,48.5,12.0,30.8335,63.57422680412371,75.01599733542847,9.0,277.5015
garuda_prime_set,pc,2025-09-02 00:00:00+00:00,69.5,78.833,10.5,34.5,69.5,4,49.6665,11.0,29.1665,58.724693707025864,71.85475781428126,10.5,306.24825
garuda_prime_set,pc,2025-09-03 00:00:00+00:00,71.1665,79.0,9.0,32.5,71.1665,4,49.8335,9.0,29.1665,58.52789790000703,67.15834811481083,9.0,262.4985
garuda_prime_set,pc,2025-09-04 00:00:00+00:00,69.0,83.5,11.0,33.5,69.0,4,52.5,9.0,31.0,59.04761904761905,74.19316748027583,9.0,279.0
garuda_prime_set,pc,2025-09-05 00:00:00+00:00,68.5,78.167,10.0,37.5,68.5,4,54.6665,15.0,23.500500000000002,42.988850575763955,60.72070902646804,10.0,235.00500000000002
garuda_prime_set,pc,2025-09-06 00:00:00+00:00,68.667,74.0,11.5,40.5,68.667,4,51.667,17.0,22.333,43.22488242011341,60.452265400505866,11.5,256.8295
garuda_prime_set,pc,2025-09-07 00:00:00+00:00,66.1665,76.6665,7.5,45.0,66.1665,4,51.8335,15.0,24.833,47.90917071006202,60.87993837947517,7.5,186.2475
garuda_prime_set,pc,2025-09-08 00:00:00+00:00,60.8335,78.0,8.0,44.0,60.8335,4,45.8335,19.0,32.1665,70.1811993410933,83.30895789455174,8.0,257.332
garuda_prime_set,pc,2025-09-09 00:00:00+00:00,67.6665,79.3335,7.5,37.0,67.6665,4,48.2505,15.0,31.083,64.42005782323498,76.20227619092444,7.5,233.1225
garuda_prime_set,pc,2025-09-10 00:00:00+00:00,69.1665,78.6665,11.5,40.0,69.1665,4,54.6665,14.0,24.0,43.902572873697785,62.79748149346845,11.5,276.0
garuda_prime_set,pc,2025-09-11 00:00:00+00:00,72.6665,77.3335,10.5,32.0,72.6665,4,58.5,10.0,18.8335,32.1940170940171,45.57889777019102,10.0,188.335
garuda_prime_set,pc,2025-09-12 00:00:00+00:00,71.667,79.6665,9.5,35.5,71.667,4,255.0,10.0,-175.33350000000002,-68.75823529411765,-416.34824578798975,9.5,0.0
garuda_prime_set,pc,2025-09-13 00:00:00+00:00,74.333,81.1665,12.0,37.5,74.333,4,58.6665,11.0,22.5,38.35238168290251,56.80931150486501,11.0,247.5
garuda_prime_set,pc,2025-09-14 00:00:00+00:00,70.3335,79.0,12.0,33.0,70.3335,4,51.5,14.0,27.5,53.398058252427184,72.49831074625148,12.0,330.0
garuda_prime_set,pc,2025-09-15 00:00:00+00:00,70.5,78.8335,15.5,41.0,70.5,4,57.6665,15.0,21.167,36.70588643319779,59.012893021591005,15.0,317.505
garuda_prime_set,pc,2025-09-16 00:00:00+00:00,75.5,78.333,12.0,50.0,75.5,4,53.917,17.0,24.415999999999997,45.28441864347051,66.57588200144838,12.0,292.99199999999996
garuda_prime_set,pc,2025-09-17 00:00:00+00:00,72.1665,78.3335,13.5,35.5,72.1665,4,47.3335,10.0,31.0,65.49272713828472,78.59118931877875,10.0,310.0
garuda_prime_set,pc,2025-09-18 00:00:00+00:00,71.3335,80.3335,12.5,35.0,71.3335,4,54.0,14.0,26.3335,48.76574074074074,69.92242157183196,12.5,329.16875
garuda_prime_set,pc,2025-09-19 00:00:00+00:00,71.8335,79.8335,16.0,42.5,71.8335,4,57.1665,17.0,22.667,39.6508444631034,64.86769043470959,16.0,362.672
garuda_prime_set,pc,2025-09-20 00:00:00+00:00,73.0,76.5,13.5,51.0,73.0,4,52.917,19.0,23.583,44.566018481773334,66.83732532552155,13.5,318.3705
garuda_prime_set,pc,2025-09-21 00:00:00+00:00,73.0,78.5,12.0,45.0,73.0,4,48.333,20.0,30.167,62.41491320629798,84.55422078757513,12.0,362.004
garuda_prime_set,pc,2025-09-22 00:00:00+00:00,71.5,77.8335,11.0,39.5,71.5,4,58.0005,17.0,19.833,34.19453280575167,53.27404307852623,11.0,218.16299999999998
garuda_prime_set,pc,2025-09-23 00:00:00+00:00,74.667,74.6665,12.5,36.5,74.667,4,56.5,12.0,18.1665,32.15309734513274,46.938693241817475,12.0,217.998
garuda_prime_set,pc,2025-09-24 00:00:00+00:00,72.8335,78.8335,12.0,43.5,72.8335,4,54.5,14.0,24.3335,44.64862385321101,64.15045980159674,12.0,292.002
garuda_prime_set,pc,2025-09-25 00:00:00+00:00,67.5,80.5,10.5,38.0,67.5,4,56.083,13.0,24.417,43.53725727938948,62.02620863765009,10.5,256.37850000000003
garuda_prime_set,pc,2025-09-26 00:00:00+00:00,66.667,79.8335,9.5,39.0,66.667,4,52.25,14.0,27.5835,52.79138755980861,69.74019785720158,9.5,262.04325
garuda_prime_set,pc,2025-09-27 00:00:00+00:00,69.0,81.8335,11.5,39.0,69.0,4,49.1665,15.0,32.667,66.44158115790223,86.52109667221309,11.5,375.6705
garuda_prime_set,pc,2025-09-28 00:00:00+00:00,67.5,81.8335,12.5,40.0,67.5,4,46.583,15.0,35.2505,75.67245561685594,94.731331524063,12.5,440.63125
garuda_prime_set,pc,2025-09-29 00:00:00+00:00,69.8335,82.1665,14.0,25.5,69.8335,4,46.1665,12.0,36.0,77.97862086144715,94.90687952236557,12.0,432.0
garuda_prime_set,pc,2025-09-30 00:00:00+00:00,75.667,89.667,8.0,14.0,75.667,4,52.667,5.0,37.0,70.25271991949418,73.67560049974735,5.0,185.0
garuda_prime_set,pc,2025-10-01 00:00:00+00:00,70.6665,82.5,8.5,24.5,70.6665,4,56.8335,7.0,25.6665,45.16086463089551,55.56509306304556,7.0,179.6655
garuda_prime_set,pc,2025-10-02 00:00:00+00:00,71.1665,82.667,8.0,26.0,71.1665,4,51.166,10.0,31.501000000000005,61.56627447914632,72.35769298248816,8.0,252.00800000000004
garuda_prime_set,pc,2025-10-03 00:00:00+00:00,68.3335,81.333,8.5,30.5,68.3335,4,53.167,9.0,28.165999999999997,52.97647036695694,64.13118913621987,8.5,239.41099999999997
garuda_prime_set,pc,2025-10-04 00:00:00+00:00,71.667,79.833,9.0,32.5,71.667,4,56.0,12.0,23.833,42.55892857142857,57.984214068959616,9.0,214.49699999999999
garuda_prime_set,pc,2025-10-05 00:00:00+00:00,73.6665,82.3335,13.0,32.5,73.6665,4,50.3335,10.0,32.0,63.57594842401184,80.57081390268594,10.0,320.0
garuda_prime_set,pc,2025-10-06 00:00:00+00:00,65.5,85.167,7.0,17.0,65.5,4,48.9165,7.0,36.2505,74.10689644598449,75.38079560666489,7.0,253.75350000000003
