set_url,platform,date,buy_med,sell_med,buy_depth_med,sell_depth_med,eff_buy_price,n_parts,parts_cost_buy,min_part_eff_depth,margin,roi_pct,opportunity_score,daily_volume_cap,kpi_daily_potential
karyst_prime_set,pc,2025-08-15 00:00:00+00:00,12.0,28.5,2.5,42.0,12.0,3,11.0,14.0,17.5,159.0909090909091,33.842359316016626,2.5,43.75
karyst_prime_set,pc,2025-08-22 00:00:00+00:00,15.5,29.1665,4.5,29.0,15.5,3,13.9165,15.0,15.25,109.58215068443934,33.8690843665078,4.5,68.625
karyst_prime_set,pc,2025-08-23 00:00:00+00:00,18.5,27.3335,2.5,35.0,18.5,3,12.6665,13.0,14.667000000000002,115.7936288635377,27.900131083339147,2.5,36.667500000000004
karyst_prime_set,pc,2025-08-24 00:00:00+00:00,17.8335,25.5,3.0,34.5,17.8335,3,11.25,13.0,14.25,126.66666666666667,28.219436017862098,3.0,42.75
karyst_prime_set,pc,2025-08-25 00:00:00+00:00,13.25,27.3335,1.5,31.0,13.25,3,9.3335,9.0,18.0,192.85369904108853,27.757177747994724,1.5,27.0
karyst_prime_set,pc,2025-08-26 00:00:00+00:00,13.3335,28.0,2.0,33.0,13.3335,3,12.75,8.0,15.25,119.6078431372549,24.54392816462003,2.0,30.5
karyst_prime_set,pc,2025-08-27 00:00:00+00:00,14.1665,27.6665,2.0,35.0,14.1665,3,12.6665,12.0,15.0,118.42261082382663,26.62169051104221,2.0,30.0
karyst_prime_set,pc,2025-08-28 00:00:00+00:00,20.6665,27.0,2.5,36.5,20.6665,3,14.8335,7.0,12.1665,82.02042673677822,20.019269419754842,2.5,30.416249999999998
karyst_prime_set,pc,2025-08-29 00:00:00+00:00,9.3335,27.1665,2.5,33.0,9.3335,3,14.5835,12.0,12.582999999999998,86.28244248637156,23.508721591668984,2.5,31.457499999999996
karyst_prime_set,pc,2025-08-30 00:00:00+00:00,12.0,28.6665,2.5,32.5,12.0,3,14.833,13.0,13.833499999999999,93.26164632913098,26.314615350199226,2.5,34.583749999999995
karyst_prime_set,pc,2025-08-31 00:00:00+00:00,9.0,29.667,0.0,28.0,9.0,3,12.0,10.0,17.667,147.22500000000002,0.0,0.0,0.0
karyst_prime_set,pc,2025-09-01 00:00:00+00:00,11.1665,29.0,2.5,30.5,11.1665,3,16.75,9.0,12.25,73.13432835820896,21.413664447679594,2.5,30.625
karyst_prime_set,pc,2025-09-02 00:00:00+00:00,11.25,27.8335,2.0,33.0,11.25,3,15.750499999999999,11.0,12.083000000000002,76.71502491984383,21.00971878280989,2.0,24.166000000000004
karyst_prime_set,pc,2025-09-03 00:00:00+00:00,12.75,29.6665,2.0,30.0,12.75,3,13.8335,9.0,15.832999999999998,114.45404272237681,26.2325152807519,2.0,31.665999999999997
karyst_prime_set,pc,2025-09-04 00:00:00+00:00,11.6665,29.6665,2.0,28.5,11.6665,3,10.6665,6.0,19.0,178.12778324661323,28.42529177328508,2.0,38.0
karyst_prime_set,pc,2025-09-05 00:00:00+00:00,13.5,29.5,2.5,30.5,13.5,3,17.3335,8.0,12.1665,70.19067124354572,20.67902319982871,2.5,30.416249999999998
karyst_prime_set,pc,2025-09-06 00:00:00+00:00,13.5,25.0,3.0,33.0,13.5,3,16.999499999999998,11.0,8.000500000000002,47.06314891614461,15.270847539695163,3.0,24.001500000000007
karyst_prime_set,pc,2025-09-07 00:00:00+00:00,13.9165,27.0,4.0,33.0,13.9165,3,9.9165,9.0,17.0835,172.27348358795948,33.24295603138645,4.0,68.334
karyst_prime_set,pc,2025-09-08 00:00:00+00:00,11.25,25.8335,2.0,35.0,11.25,3,9.0,12.0,16.8335,187.0388888888889,29.875748481175272,2.0,33.667
karyst_prime_set,pc,2025-09-09 00:00:00+00:00,17.25,27.6665,1.5,29.0,17.25,3,10.5,7.0,17.1665,163.4904761904762,24.799594729863596,1.5,25.74975
karyst_prime_set,pc,2025-09-10 00:00:00+00:00,12.0835,29.8335,2.5,23.5,12.0835,3,11.9165,7.0,17.917,150.35455041329251,29.481383322545312,2.5,44.792500000000004
karyst_prime_set,pc,2025-09-11 00:00:00+00:00,14.8335,30.5,5.5,22.0,14.8335,3,12.9165,6.0,17.5835,136.1320791236016,33.56227082235233,5.5,96.70925
karyst_prime_set,pc,2025-09-12 00:00:00+00:00,11.6665,29.667,3.0,18.0,11.6665,3,9.333,6.0,20.334000000000003,217.87206685953072,33.68988604299938,3.0,61.00200000000001
karyst_prime_set,pc,2025-09-13 00:00:00+00:00,10.5,29.0,3.0,25.0,10.5,3,14.167,8.0,14.833,104.70106585727395,26.325302356685942,3.0,44.499
karyst_prime_set,pc,2025-09-14 00:00:00+00:00,13.0,29.1665,2.0,22.0,13.0,3,11.5,11.0,17.6665,153.62173913043478,30.718215416412384,2.0,35.333
karyst_prime_set,pc,2025-09-15 00:00:00+00:00,12.8335,25.1665,2.0,26.5,12.8335,3,11.4165,9.0,13.75,120.43971444838611,22.781348140613822,2.0,27.5
karyst_prime_set,pc,2025-09-16 00:00:00+00:00,11.4165,29.0,2.5,26.0,11.4165,3,11.4165,11.0,17.5835,154.01830683659617,32.206432484752455,2.5,43.95875
karyst_prime_set,pc,2025-09-17 00:00:00+00:00,12.75,27.167,2.5,26.5,12.75,3,14.5835,12.0,12.5835,86.28587101861693,23.50965573780233,2.5,31.458750000000002
karyst_prime_set,pc,2025-09-18 00:00:00+00:00,10.25,27.5,1.5,18.5,10.25,3,16.499499999999998,9.0,11.000500000000002,66.67171732476744,16.96349076760089,1.5,16.500750000000004
karyst_prime_set,pc,2025-09-19 00:00:00+00:00,7.5,28.0,1.0,26.5,7.5,3,11.1665,9.0,16.8335,150.75001119419696,23.336186127911677,1.0,16.8335
karyst_prime_set,pc,2025-09-20 00:00:00+00:00,13.1665,28.3335,3.0,26.0,13.1665,3,9.6665,9.0,18.667,193.11022603838,34.04727372821289,3.0,56.001000000000005
karyst_prime_set,pc,2025-09-21 00:00:00+00:00,10.5,27.833,2.0,28.0,10.5,3,10.3335,11.0,17.499499999999998,169.34726859244202,30.427838602977868,2.0,34.998999999999995
karyst_prime_set,pc,2025-09-22 00:00:00+00:00,8.5,28.3335,2.0,27.0,8.5,3,12.333,12.0,16.000500000000002,129.73729019703237,28.39735726812873,2.0,32.001000000000005
karyst_prime_set,pc,2025-09-23 00:00:00+00:00,14.3335,26.5,4.0,30.0,14.3335,3,11.0,10.0,15.5,140.9090909090909,30.86410291205632,4.0,62.0
karyst_prime_set,pc,2025-09-24 00:00:00+00:00,14.332999999999998,27.8335,4.0,26.5,14.332999999999998,3,10.4165,12.0,17.417,167.20587529400476,36.060617152106275,4.0,69.668
karyst_prime_set,pc,2025-09-25 00:00:00+00:00,13.0,29.6665,2.5,26.5,13.0,3,18.167,7.0,11.499499999999998,63.29883855342102,18.921759642663936,2.5,28.748749999999994
karyst_prime_set,pc,2025-09-26 00:00:00+00:00,14.833,29.667,5.0,29.0,14.833,3,16.8335,10.0,12.8335,76.23785903109871,26.800015714495384,5.0,64.1675
