set_url,platform,date,buy_med,sell_med,buy_depth_med,sell_depth_med,eff_buy_price,n_parts,parts_cost_buy,min_part_eff_depth,margin,roi_pct,opportunity_score,daily_volume_cap,kpi_daily_potential
latron_prime_set,pc,2025-08-15 00:00:00+00:00,86.667,98.1665,12.5,35.5,86.667,4,54.417500000000004,11.0,43.748999999999995,80.39509349014563,111.28215438454085,11.0,481.2389999999999
latron_prime_set,pc,2025-08-22 00:00:00+00:00,81.3335,96.3335,7.5,34.0,81.3335,4,57.5,15.0,38.8335,67.53652173913044,95.20320086414647,7.5,291.25125
latron_prime_set,pc,2025-08-23 00:00:00+00:00,85.0,92.5,13.0,29.0,85.0,4,54.4165,12.0,38.0835,69.98520669282294,99.09130088090126,12.0,457.002
latron_prime_set,pc,2025-08-24 00:00:00+00:00,79.333,96.5,8.0,32.0,79.333,4,53.0,12.0,43.5,82.0754716981132,103.50203524704774,8.0,348.0
latron_prime_set,pc,2025-08-25 00:00:00+00:00,79.3335,94.8335,9.0,36.0,79.3335,4,47.834,11.0,46.9995,98.25542501149809,112.48521854803947,9.0,422.9955
latron_prime_set,pc,2025-08-26 00:00:00+00:00,84.1665,93.3335,6.0,34.0,84.1665,4,44.3335,13.0,49.0,110.52590027857038,111.99528444958499,6.0,294.0
latron_prime_set,pc,2025-08-27 00:00:00+00:00,78.667,92.5,6.0,41.0,78.667,4,39.0,17.0,53.5,137.17948717948718,128.76917713392197,6.0,321.0
latron_prime_set,pc,2025-08-28 00:00:00+00:00,78.0,94.8335,6.5,44.5,78.0,4,50.75,17.0,44.0835,86.864039408867,107.71279120827693,6.5,286.54275
latron_prime_set,pc,2025-08-29 00:00:00+00:00,81.3335,96.0,11.5,37.5,81.3335,4,47.5835,14.0,48.4165,101.75060682799709,126.68476094702147,11.5,556.78975
latron_prime_set,pc,2025-08-30 00:00:00+00:00,82.5,94.0,15.5,42.0,82.5,4,45.333,14.0,48.667,107.3544658416606,134.1081572977683,14.0,681.338
latron_prime_set,pc,2025-08-31 00:00:00+00:00,78.667,99.333,8.0,28.0,78.667,4,57.0,12.0,42.333,74.26842105263158,100.72532547386832,8.0,338.664
latron_prime_set,pc,2025-09-01 00:00:00+00:00,81.3335,93.333,10.5,33.5,81.3335,4,46.5835,12.0,46.7495,100.35634935116511,117.0364737000505,10.5,490.86974999999995
latron_prime_set,pc,2025-09-02 00:00:00+00:00,83.0,95.0,11.5,34.5,83.0,4,44.0005,10.0,50.9995,115.90663742457471,125.54146136979742,10.0,509.995
latron_prime_set,pc,2025-09-03 00:00:00+00:00,81.0,93.667,8.5,33.0,81.0,4,47.417,10.0,46.25,97.53885737182867,107.4989679685921,8.5,393.125
latron_prime_set,pc,2025-09-04 00:00:00+00:00,74.5,90.6665,8.0,43.0,74.5,4,48.3335,9.0,42.333,87.58521522339578,95.2382971036472,8.0,338.664
latron_prime_set,pc,2025-09-05 00:00:00+00:00,72.6665,91.1665,4.5,41.5,72.6665,4,43.3335,12.0,47.833,110.38342160222462,101.50536635454615,4.5,215.24849999999998
latron_prime_set,pc,2025-09-06 00:00:00+00:00,80.6665,89.8335,10.0,45.5,80.6665,4,49.3335,14.0,40.5,82.0943172489282,103.3541566857785,10.0,405.0
latron_prime_set,pc,2025-09-07 00:00:00+00:00,76.0,91.5,7.5,44.5,76.0,4,48.6665,9.0,42.8335,88.01434251487163,95.1299295221516,7.5,321.25125
latron_prime_set,pc,2025-09-08 00:00:00+00:00,69.3335,93.1665,6.5,35.5,69.3335,4,42.25,14.0,50.9165,120.51242603550295,119.91446023887495,6.5,330.95725
latron_prime_set,pc,2025-09-09 00:00:00+00:00,80.5,90.6665,7.5,47.0,80.5,4,42.833,10.0,47.8335,111.67440991758691,108.48733207704835,7.5,358.75125
latron_prime_set,pc,2025-09-10 00:00:00+00:00,80.6665,92.3335,8.0,36.5,80.6665,4,43.6665,9.0,48.667,111.45157042584131,109.48815829596766,8.0,389.336
latron_prime_set,pc,2025-09-11 00:00:00+00:00,72.5,89.3335,6.5,34.0,72.5,4,46.5835,11.0,42.75,91.77069133920808,96.04321223901604,6.5,277.875
latron_prime_set,pc,2025-09-12 00:00:00+00:00,69.3335,89.8335,5.5,31.0,69.3335,4,45.416,9.0,44.417500000000004,97.80143561740357,92.56094473472481,5.5,244.29625000000001
latron_prime_set,pc,2025-09-13 00:00:00+00:00,72.6665,88.5,7.5,44.0,72.6665,4,54.3335,8.0,34.1665,62.88293594191429,74.09322059382264,7.5,256.24875
latron_prime_set,pc,2025-09-14 00:00:00+00:00,71.6665,88.333,6.5,45.5,71.6665,4,44.8335,13.0,43.4995,97.02454637715101,100.99023061503193,6.5,282.74674999999996
latron_prime_set,pc,2025-09-15 00:00:00+00:00,76.25,89.5,7.0,43.5,76.25,4,48.334,11.0,41.166,85.16985972607273,93.85125382867804,7.0,288.162
latron_prime_set,pc,2025-09-16 00:00:00+00:00,73.667,88.8335,6.5,47.5,73.667,4,37.4995,10.0,51.334,136.892491899892,113.14620822705804,6.5,333.67100000000005
latron_prime_set,pc,2025-09-17 00:00:00+00:00,68.3335,88.5,5.5,39.5,68.3335,4,43.2495,12.0,45.2505,104.626643082579,100.04489669673792,5.5,248.87775000000002
latron_prime_set,pc,2025-09-18 00:00:00+00:00,78.3335,88.667,9.5,34.0,78.3335,4,61.667,14.0,27.0,43.78354711596153,68.26491714773117,9.5,256.5
latron_prime_set,pc,2025-09-19 00:00:00+00:00,74.3335,86.0,8.5,39.5,74.3335,4,47.0835,9.0,38.9165,82.6542206930241,88.6090116459455,8.5,330.79025
latron_prime_set,pc,2025-09-20 00:00:00+00:00,70.167,84.6665,5.0,46.5,70.167,4,49.0835,10.0,35.583,72.49483023826744,74.30747334467519,5.0,177.915
latron_prime_set,pc,2025-09-21 00:00:00+00:00,52.0,84.8335,6.5,41.5,52.0,4,44.0,10.0,40.8335,92.80340909090908,90.00186413760031,6.5,265.41775
latron_prime_set,pc,2025-09-22 00:00:00+00:00,48.1665,88.5,3.5,36.0,48.1665,4,50.6665,9.0,37.8335,74.67162720930003,71.46595651116246,3.5,132.41725
latron_prime_set,pc,2025-09-23 00:00:00+00:00,68.667,89.0,0.0,26.0,68.667,4,53.5,10.0,35.5,66.35514018691589,0.0,0.0,0.0
