set_url,platform,date,buy_med,sell_med,buy_depth_med,sell_depth_med,eff_buy_price,n_parts,parts_cost_buy,min_part_eff_depth,margin,roi_pct,opportunity_score,daily_volume_cap,kpi_daily_potential
lavos_prime_set,pc,2025-08-15 00:00:00+00:00,27.667,32.3335,15.0,76.5,27.667,4,11.833,24.0,20.500500000000002,173.2485422124567,61.38699863916374,15.0,307.50750000000005
lavos_prime_set,pc,2025-08-22 00:00:00+00:00,22.8335,30.8335,10.0,103.5,22.8335,4,13.417,30.0,17.4165,129.80919728702392,50.64754935318163,10.0,174.165
lavos_prime_set,pc,2025-08-23 00:00:00+00:00,24.8335,28.5,13.5,103.0,24.8335,4,14.1665,20.0,14.3335,101.17883739808705,40.969286134895384,13.5,193.50225
lavos_prime_set,pc,2025-08-24 00:00:00+00:00,20.8335,29.5,9.5,93.0,20.8335,4,10.8335,23.0,18.6665,172.3035030230304,51.49814677132215,9.5,177.33175
lavos_prime_set,pc,2025-08-25 00:00:00+00:00,23.8335,31.1665,10.0,78.0,23.8335,4,11.8335,23.0,19.333,163.37516373008827,53.80170635881326,10.0,193.32999999999998
lavos_prime_set,pc,2025-08-26 00:00:00+00:00,25.8335,28.8335,13.0,88.0,25.8335,4,12.167,26.0,16.6665,136.98117859784662,49.407639781422,13.0,216.66449999999998
lavos_prime_set,pc,2025-08-27 00:00:00+00:00,23.6665,27.5,7.0,101.0,23.6665,4,11.583,30.0,15.917,137.41690408357076,43.61709294948895,7.0,111.419
lavos_prime_set,pc,2025-08-28 00:00:00+00:00,24.0,29.8335,7.5,89.0,24.0,4,11.0,24.0,18.8335,171.21363636363637,50.25468976243698,7.5,141.25125
lavos_prime_set,pc,2025-08-29 00:00:00+00:00,22.1665,28.6665,9.5,98.0,22.1665,4,13.0835,26.0,15.582999999999998,119.10421523292695,43.88765455531237,9.5,148.0385
lavos_prime_set,pc,2025-08-30 00:00:00+00:00,21.0,29.667,7.0,96.0,21.0,4,11.25,27.0,18.417,163.70666666666668,49.56178565203436,7.0,128.919
lavos_prime_set,pc,2025-08-31 00:00:00+00:00,23.667,29.667,12.0,96.0,23.667,4,15.0,21.0,14.667000000000002,97.78000000000002,41.44606833663763,12.0,176.00400000000002
