set_url,platform,date,buy_med,sell_med,buy_depth_med,sell_depth_med,eff_buy_price,n_parts,parts_cost_buy,min_part_eff_depth,margin,roi_pct,opportunity_score,daily_volume_cap,kpi_daily_potential
masseter_prime_set,pc,2025-08-15 00:00:00+00:00,9.1665,9.333,9.0,66.0,9.1665,3,10.3335,17.0,-1.0005000000000006,-9.682101901582238,-2.594258777228291,9.0,0.0
masseter_prime_set,pc,2025-08-22 00:00:00+00:00,9.3335,8.6665,12.0,58.5,9.3335,3,9.8335,18.0,-1.1670000000000016,-11.867595464483667,-3.213294460907718,12.0,0.0
masseter_prime_set,pc,2025-08-23 00:00:00+00:00,9.3335,9.667,9.0,57.0,9.3335,3,9.1665,16.0,0.5005000000000006,5.460099274532271,1.2837571534095007,9.0,4.5045000000000055
masseter_prime_set,pc,2025-08-24 00:00:00+00:00,9.0,9.667,10.0,55.0,9.0,3,8.3335,17.0,1.333499999999999,16.00167996640066,3.5228359989960505,10.0,13.33499999999999
masseter_prime_set,pc,2025-08-25 00:00:00+00:00,9.3335,9.0,8.0,57.0,9.3335,3,9.666,13.0,-0.6660000000000004,-6.890130353817508,-1.6088819582913416,8.0,0.0
masseter_prime_set,pc,2025-08-26 00:00:00+00:00,8.5,9.333,8.0,62.0,8.5,3,9.5005,19.0,-0.16750000000000043,-1.7630651018367498,-0.4338131424723688,8.0,0.0
masseter_prime_set,pc,2025-08-27 00:00:00+00:00,9.5,7.833,12.0,69.0,9.5,3,8.3335,18.0,-0.5005000000000006,-6.0058798824023585,-1.3781095781356578,12.0,0.0
masseter_prime_set,pc,2025-08-28 00:00:00+00:00,9.3335,7.833,7.5,64.5,9.3335,3,8.833,20.0,-1.0,-11.321181931393637,-2.5838049839989803,7.5,0.0
masseter_prime_set,pc,2025-08-29 00:00:00+00:00,9.5,7.667,9.5,73.5,9.5,3,8.167,19.0,-0.5,-6.122199093914534,-1.3348289056054432,9.5,0.0
masseter_prime_set,pc,2025-08-30 00:00:00+00:00,9.8335,6.5,10.0,66.5,9.8335,3,8.333,23.0,-1.8330000000000002,-21.99687987519501,-5.101046281265439,10.0,0.0
masseter_prime_set,pc,2025-08-31 00:00:00+00:00,8.667,9.667,6.0,64.0,8.667,3,7.666,17.0,2.0009999999999994,26.10226976258804,4.816207914859398,6.0,12.005999999999997
masseter_prime_set,pc,2025-09-01 00:00:00+00:00,10.0,8.0,10.5,66.5,10.0,3,8.8335,19.0,-0.8335000000000008,-9.435671025075006,-2.264046413832968,10.5,0.0
masseter_prime_set,pc,2025-09-02 00:00:00+00:00,8.5,7.1665,10.5,62.0,8.5,3,8.5,16.0,-1.3335,-15.688235294117646,-3.5155089956409578,10.5,0.0
masseter_prime_set,pc,2025-09-03 00:00:00+00:00,9.8335,8.8335,12.0,61.5,9.8335,3,7.6665,21.0,1.1670000000000007,15.222070045000988,3.2977133530276226,12.0,14.004000000000008
masseter_prime_set,pc,2025-09-04 00:00:00+00:00,9.833,8.0,9.0,67.5,9.833,3,9.0,18.0,-1.0,-11.11111111111111,-2.6194318653808493,9.0,0.0
masseter_prime_set,pc,2025-09-05 00:00:00+00:00,9.5,9.8335,9.0,66.5,9.5,3,8.999500000000001,21.0,0.8339999999999996,9.267181510083889,2.2443682051255163,9.0,7.505999999999997
masseter_prime_set,pc,2025-09-06 00:00:00+00:00,9.333,10.0,10.0,65.0,9.333,3,8.833,13.0,1.1669999999999998,13.211819313936374,2.9383168695135775,10.0,11.669999999999998
masseter_prime_set,pc,2025-09-07 00:00:00+00:00,9.3335,10.0,9.5,62.5,9.3335,3,8.8335,13.0,1.1664999999999992,13.205411218656241,2.909582085853493,9.5,11.081749999999992
masseter_prime_set,pc,2025-09-08 00:00:00+00:00,9.6665,10.0,10.0,58.0,9.6665,3,8.8335,18.0,1.1664999999999992,13.205411218656241,3.112650097320344,10.0,11.664999999999992
