set_url,platform,date,buy_med,sell_med,buy_depth_med,sell_depth_med,eff_buy_price,n_parts,parts_cost_buy,min_part_eff_depth,margin,roi_pct,opportunity_score,daily_volume_cap,kpi_daily_potential
phantasma_prime_set,pc,2025-08-15 00:00:00+00:00,38.333,48.333,9.0,32.5,38.333,4,22.9165,7.0,25.4165,110.9091702485109,55.6679395107444,7.0,177.9155
phantasma_prime_set,pc,2025-08-22 00:00:00+00:00,35.5,44.1665,5.5,34.0,35.5,4,21.3335,14.0,22.833,107.02885133709891,52.05523195525933,5.5,125.58149999999999
phantasma_prime_set,pc,2025-08-23 00:00:00+00:00,33.0,48.1665,6.0,30.5,33.0,4,21.75,13.0,26.4165,121.45517241379311,60.37802921760126,6.0,158.499
phantasma_prime_set,pc,2025-08-24 00:00:00+00:00,31.8335,46.0,4.5,31.5,31.8335,4,18.25,12.0,27.75,152.05479452054794,58.88766994206208,4.5,124.875
phantasma_prime_set,pc,2025-08-25 00:00:00+00:00,32.6665,46.8335,7.0,32.0,32.6665,4,21.667,11.0,25.1665,116.15128998015415,57.37520233880936,7.0,176.1655
phantasma_prime_set,pc,2025-08-26 00:00:00+00:00,35.5,44.667,7.0,38.5,35.5,4,18.3335,11.0,26.3335,143.63596694575503,60.03575748670003,7.0,184.3345
phantasma_prime_set,pc,2025-08-27 00:00:00+00:00,34.6665,46.0,8.5,34.0,34.6665,4,17.5,14.0,28.5,162.85714285714286,70.60220191777447,8.5,242.25
phantasma_prime_set,pc,2025-08-28 00:00:00+00:00,30.1665,46.1665,4.5,37.5,30.1665,4,19.8335,10.0,26.333,132.7703128545138,53.77949636789293,4.5,118.49849999999999
phantasma_prime_set,pc,2025-08-29 00:00:00+00:00,30.1665,45.0,5.5,29.5,30.1665,4,20.2505,12.0,24.7495,122.21673538924966,54.718979255387566,5.5,136.12225
phantasma_prime_set,pc,2025-08-30 00:00:00+00:00,30.3335,46.3335,6.0,32.0,30.3335,4,20.5,10.0,25.8335,126.0170731707317,56.02233808585945,6.0,155.001
phantasma_prime_set,pc,2025-08-31 00:00:00+00:00,27.667,50.0,3.0,31.0,27.667,4,31.5,11.0,18.5,58.73015873015873,35.31162795879763,3.0,55.5
phantasma_prime_set,pc,2025-09-01 00:00:00+00:00,30.167,47.0,4.0,24.0,30.167,4,21.9165,8.0,25.0835,114.45030000228138,47.54946247907695,4.0,100.334
phantasma_prime_set,pc,2025-09-02 00:00:00+00:00,33.5,50.5,5.5,28.5,33.5,4,24.083,8.0,26.417,109.69148361915046,53.69291308868469,5.5,145.2935
phantasma_prime_set,pc,2025-09-03 00:00:00+00:00,24.0,50.667,3.5,22.5,24.0,4,21.25,11.0,29.417,138.4329411764706,58.09129668850774,3.5,102.9595
phantasma_prime_set,pc,2025-09-04 00:00:00+00:00,31.6665,51.0,5.5,24.0,31.6665,4,23.3335,8.0,27.6665,118.5698673580903,56.23253889420051,5.5,152.16575
phantasma_prime_set,pc,2025-09-05 00:00:00+00:00,27.1665,51.0,3.5,30.5,27.1665,4,25.833,8.0,25.167,97.42190221809315,46.287144709358785,3.5,88.0845
phantasma_prime_set,pc,2025-09-06 00:00:00+00:00,31.0,50.833,7.0,30.5,31.0,4,22.0,9.0,28.833,131.05909090909088,63.1508547562919,7.0,201.831
phantasma_prime_set,pc,2025-09-07 00:00:00+00:00,32.8335,50.3335,6.0,31.5,32.8335,4,16.9165,11.0,33.417,197.54086247155146,73.8820634670311,6.0,200.502
phantasma_prime_set,pc,2025-09-08 00:00:00+00:00,32.6665,49.1665,8.0,32.0,32.6665,4,21.333,12.0,27.8335,130.4715698682792,66.2258367367518,8.0,222.668
phantasma_prime_set,pc,2025-09-09 00:00:00+00:00,36.0,51.5,6.5,30.0,36.0,4,16.8335,8.0,34.6665,205.93756497460421,72.98987229978026,6.5,225.33225
phantasma_prime_set,pc,2025-09-10 00:00:00+00:00,34.3335,50.8335,10.0,22.0,34.3335,4,28.000500000000002,8.0,22.833,81.54497241120693,52.44732560455706,8.0,182.664
phantasma_prime_set,pc,2025-09-11 00:00:00+00:00,42.5,55.8335,13.5,23.5,42.5,4,19.3335,6.0,36.5,188.79147593555228,84.04435589428267,6.0,219.0
phantasma_prime_set,pc,2025-09-12 00:00:00+00:00,43.5,56.167,11.0,21.0,43.5,4,18.4165,7.0,37.7505,204.9819455379687,86.06451337656102,7.0,264.25350000000003
phantasma_prime_set,pc,2025-09-13 00:00:00+00:00,33.8335,53.167,9.0,27.5,33.8335,4,25.8335,8.0,27.3335,105.80641415216675,61.49330295236674,8.0,218.668
phantasma_prime_set,pc,2025-09-14 00:00:00+00:00,38.6665,50.6665,9.0,23.5,38.6665,4,21.4165,10.0,29.25,136.57693834193262,68.74102370036546,9.0,263.25
phantasma_prime_set,pc,2025-09-15 00:00:00+00:00,40.1665,52.6665,9.5,22.0,40.1665,4,22.6665,10.0,30.0,132.3539143670174,71.23822528860539,9.5,285.0
phantasma_prime_set,pc,2025-09-16 00:00:00+00:00,37.1665,53.667,9.0,29.5,37.1665,4,23.25,11.0,30.417,130.82580645161292,72.79785726605,9.0,273.75300000000004
phantasma_prime_set,pc,2025-09-17 00:00:00+00:00,29.8335,57.333,5.5,22.0,29.8335,4,22.25,8.0,35.083,157.676404494382,71.3066763784807,5.5,192.9565
phantasma_prime_set,pc,2025-09-18 00:00:00+00:00,36.0,49.8335,6.5,26.5,36.0,4,24.0005,10.0,25.833000000000002,107.63525759880004,56.93898774943683,6.5,167.9145
phantasma_prime_set,pc,2025-09-19 00:00:00+00:00,39.3335,54.0,12.5,24.5,39.3335,4,21.917,11.0,32.083,146.3840854131496,81.60793067542627,11.0,352.913
phantasma_prime_set,pc,2025-09-20 00:00:00+00:00,35.167,50.6665,6.5,29.0,35.167,4,15.5,12.0,35.1665,226.88064516129032,80.37718715502716,6.5,228.58225
phantasma_prime_set,pc,2025-09-21 00:00:00+00:00,32.167,50.3335,5.0,28.5,32.167,4,26.917,11.0,23.4165,86.99520748969053,49.88085043189035,5.0,117.0825
phantasma_prime_set,pc,2025-09-22 00:00:00+00:00,32.1665,56.5,6.5,29.5,32.1665,4,25.4165,9.0,31.0835,122.29653964944032,67.05920968310926,6.5,202.04275
phantasma_prime_set,pc,2025-09-23 00:00:00+00:00,41.3335,57.6665,9.0,26.5,41.3335,4,18.166,7.0,39.5005,217.44192447429265,86.51511595397318,7.0,276.50350000000003
phantasma_prime_set,pc,2025-09-24 00:00:00+00:00,40.0,57.3335,10.0,23.0,40.0,4,19.25,10.0,38.0835,197.83636363636364,91.32024462161675,10.0,380.83500000000004
phantasma_prime_set,pc,2025-09-25 00:00:00+00:00,40.5,56.5,11.0,23.0,40.5,4,28.3335,9.0,28.1665,99.41059170240175,67.41167263978029,9.0,253.49849999999998
phantasma_prime_set,pc,2025-09-26 00:00:00+00:00,39.6665,53.3335,10.5,25.5,39.6665,4,19.75,10.0,33.5835,170.04303797468353,81.2753292412568,10.0,335.83500000000004
phantasma_prime_set,pc,2025-09-27 00:00:00+00:00,40.0,55.6665,8.5,30.5,40.0,4,23.75,9.0,31.9165,134.38526315789474,72.67070574686366,8.5,271.29025
phantasma_prime_set,pc,2025-09-28 00:00:00+00:00,40.0,56.8335,9.5,27.0,40.0,4,24.6665,6.0,32.167,130.40763788944523,69.02754868127523,6.0,193.002
phantasma_prime_set,pc,2025-09-29 00:00:00+00:00,40.0,56.8335,5.5,27.0,40.0,4,27.250500000000002,6.0,29.583,108.55947597291791,56.46615621108704,5.5,162.7065
phantasma_prime_set,pc,2025-09-30 00:00:00+00:00,23.333,58.667,3.0,16.0,23.333,4,27.166,0.0,31.501,115.95744680851064,0.0,0.0,0.0
phantasma_prime_set,pc,2025-10-01 00:00:00+00:00,32.8335,57.8335,4.0,18.5,32.8335,4,25.0,4.0,32.8335,131.334,52.84347969790503,4.0,131.334
phantasma_prime_set,pc,2025-10-02 00:00:00+00:00,27.25,58.8335,3.5,22.5,27.25,4,27.999499999999998,8.0,30.834000000000003,110.12339506062611,56.709890728667254,3.5,107.91900000000001
phantasma_prime_set,pc,2025-10-03 00:00:00+00:00,28.5,55.333,3.0,28.5,28.5,4,31.999499999999998,5.0,23.3335,72.91832684885702,36.953412031178026,3.0,70.0005
phantasma_prime_set,pc,2025-10-04 00:00:00+00:00,34.5,54.5,5.5,21.0,34.5,4,25.3335,10.0,29.1665,115.13016361734462,62.129260313101014,5.5,160.41575
phantasma_prime_set,pc,2025-10-05 00:00:00+00:00,35.0,57.8335,4.0,27.5,35.0,4,26.5,8.0,31.3335,118.23962264150943,59.39725646692677,4.0,125.334
phantasma_prime_set,pc,2025-10-06 00:00:00+00:00,28.8335,54.8335,2.5,22.0,28.8335,4,28.3335,6.0,26.5,93.5288615949318,41.96821817670806,2.5,66.25
phantasma_prime_set,pc,2025-10-07 00:00:00+00:00,30.8335,52.8335,5.5,28.0,30.8335,4,26.667,8.0,26.1665,98.12314846064425,53.1837684193916,5.5,143.91575
phantasma_prime_set,pc,2025-10-08 00:00:00+00:00,28.1665,46.833,4.5,25.0,28.1665,4,30.0835,10.0,16.749499999999998,55.67669985207837,34.207256082255064,4.5,75.37275
phantasma_prime_set,pc,2025-10-09 00:00:00+00:00,28.667,54.3335,3.5,30.5,28.667,4,23.6665,9.0,30.667,129.57978577313926,57.92872687770942,3.5,107.3345
phantasma_prime_set,pc,2025-10-10 00:00:00+00:00,25.5,53.0,4.0,27.5,25.5,4,23.833,8.0,29.167,122.38073259765874,55.29033715897851,4.0,116.668
phantasma_prime_set,pc,2025-10-11 00:00:00+00:00,40.0,54.0,6.0,30.0,40.0,4,15.333,12.0,38.667,252.18156916454706,86.9907456146913,6.0,232.002
phantasma_prime_set,pc,2025-10-12 00:00:00+00:00,37.0,51.5,6.5,33.5,37.0,4,19.5,11.0,32.0,164.10256410256412,71.89199512628102,6.5,208.0
phantasma_prime_set,pc,2025-10-13 00:00:00+00:00,34.167,53.3335,4.0,30.0,34.167,4,18.1665,6.0,35.167,193.58159249167426,62.413666013454765,4.0,140.668
phantasma_prime_set,pc,2025-10-14 00:00:00+00:00,18.0835,55.6665,2.5,27.5,18.0835,4,21.749499999999998,6.0,33.917,155.94381480034028,53.714568147147446,2.5,84.7925
phantasma_prime_set,pc,2025-10-15 00:00:00+00:00,31.0,53.8335,6.0,25.0,31.0,4,19.75,10.0,34.0835,172.57468354430378,73.91322740431575,6.0,204.501
phantasma_prime_set,pc,2025-10-16 00:00:00+00:00,31.6665,53.3335,4.0,27.5,31.6665,4,20.5,7.0,32.8335,160.16341463414633,60.38737099434702,4.0,131.334
phantasma_prime_set,pc,2025-10-17 00:00:00+00:00,24.6665,51.8335,4.5,37.5,24.6665,4,21.3335,13.0,30.5,142.96763306536667,65.80037303826249,4.5,137.25
phantasma_prime_set,pc,2025-10-18 00:00:00+00:00,30.667,53.6665,4.5,42.0,30.667,4,22.0835,15.0,31.583,143.0162791224217,70.1434289539289,4.5,142.12349999999998
phantasma_prime_set,pc,2025-10-19 00:00:00+00:00,,,,,,4,0.0,0.0,,,,0.0,0.0
phantasma_prime_set,pc,2025-10-20 00:00:00+00:00,24.75,54.0,6.0,28.0,24.75,4,19.9165,8.0,34.0835,171.13197599979915,70.56737926760142,6.0,204.501
phantasma_prime_set,pc,2025-10-21 00:00:00+00:00,31.8335,53.5,10.0,29.0,31.8335,4,18.4165,14.0,35.0835,190.50036651915403,89.53149521198792,10.0,350.83500000000004
phantasma_prime_set,pc,2025-10-22 00:00:00+00:00,21.333,52.333,3.0,23.0,21.333,4,27.833,10.0,24.5,88.02500628750046,45.773160533727264,3.0,73.5
