set_url,platform,date,buy_med,sell_med,buy_depth_med,sell_depth_med,eff_buy_price,n_parts,parts_cost_buy,min_part_eff_depth,margin,roi_pct,opportunity_score,daily_volume_cap,kpi_daily_potential
quassus_prime_set,pc,2025-08-15 00:00:00+00:00,22.0,29.6665,6.5,48.5,22.0,3,18.0,8.0,11.6665,64.81388888888888,24.563666513359767,6.5,75.83224999999999
quassus_prime_set,pc,2025-08-22 00:00:00+00:00,17.0,26.5,2.0,55.0,17.0,3,17.3335,10.0,9.1665,52.883145354371585,15.580016123061673,2.0,18.333
quassus_prime_set,pc,2025-08-23 00:00:00+00:00,17.0,28.0,2.5,46.0,17.0,3,18.0005,7.0,9.999500000000001,55.55123468792535,16.453596725667907,2.5,24.99875
quassus_prime_set,pc,2025-08-24 00:00:00+00:00,19.8335,25.5,4.5,39.0,19.8335,3,16.9995,7.0,8.500499999999999,50.004411894467474,16.057101862717868,4.5,38.25225
quassus_prime_set,pc,2025-08-25 00:00:00+00:00,18.75,26.667,3.0,41.5,18.75,3,17.1665,10.0,9.500500000000002,55.34325575976467,17.74971067961943,3.0,28.501500000000007
quassus_prime_set,pc,2025-08-26 00:00:00+00:00,17.9165,27.5,3.0,36.0,17.9165,3,15.999500000000001,9.0,11.500499999999999,71.88037126160192,20.976089972213654,3.0,34.50149999999999
quassus_prime_set,pc,2025-08-27 00:00:00+00:00,19.0,26.8335,3.0,49.0,19.0,3,17.9995,10.0,8.834,49.07914108725242,16.504493883875373,3.0,26.502
quassus_prime_set,pc,2025-08-28 00:00:00+00:00,18.75,27.0,4.0,44.5,18.75,3,17.0005,9.0,9.999500000000001,58.81885826887446,19.458128535478608,4.0,39.998000000000005
quassus_prime_set,pc,2025-08-29 00:00:00+00:00,16.833,27.3335,5.5,47.0,16.833,3,15.333,8.0,12.0005,78.26583186591013,24.391180055296232,5.5,66.00275
quassus_prime_set,pc,2025-08-30 00:00:00+00:00,19.5,25.3335,5.0,51.0,19.5,3,17.333,10.0,8.000500000000002,46.15761841573878,16.70733048068106,5.0,40.00250000000001
quassus_prime_set,pc,2025-08-31 00:00:00+00:00,18.0,24.667,4.0,50.0,18.0,3,16.334,7.0,8.333000000000002,51.016285049589825,15.326053040214838,4.0,33.33200000000001
quassus_prime_set,pc,2025-09-01 00:00:00+00:00,19.333,26.0,5.0,45.0,19.333,3,17.8335,8.0,8.1665,45.7930299716825,16.261399769761802,5.0,40.832499999999996
quassus_prime_set,pc,2025-09-02 00:00:00+00:00,16.8335,24.5,4.0,44.5,16.8335,3,17.5,6.0,7.0,40.0,12.423455571819698,4.0,28.0
quassus_prime_set,pc,2025-09-03 00:00:00+00:00,20.667,24.5,4.5,39.5,20.667,3,18.0,10.0,6.5,36.111111111111114,13.274853848452668,4.5,29.25
quassus_prime_set,pc,2025-09-04 00:00:00+00:00,21.1665,23.6665,4.5,48.0,21.1665,3,17.667,10.0,5.999499999999998,33.958793230316395,12.252690102121807,4.5,26.99774999999999
quassus_prime_set,pc,2025-09-05 00:00:00+00:00,20.167,23.0,8.0,54.5,20.167,3,19.666,10.0,3.3339999999999996,16.953117054815415,7.6581869910039515,8.0,26.671999999999997
quassus_prime_set,pc,2025-09-06 00:00:00+00:00,15.832999999999998,24.3335,3.0,56.0,15.832999999999998,3,16.4995,8.0,7.834,47.480226673535554,13.903621564233644,3.0,23.502
quassus_prime_set,pc,2025-09-07 00:00:00+00:00,18.5,27.3335,5.5,43.5,18.5,3,17.8335,7.0,9.5,53.270530181960915,18.760149523772768,5.5,52.25
quassus_prime_set,pc,2025-09-08 00:00:00+00:00,18.6665,24.667,6.0,50.0,18.6665,3,16.416,10.0,8.251000000000001,50.2619395711501,17.89305791110095,6.0,49.50600000000001
quassus_prime_set,pc,2025-09-09 00:00:00+00:00,18.8335,23.667,6.5,42.0,18.8335,3,20.1665,7.0,3.5005000000000024,17.35799469417104,7.165856356172491,6.5,22.753250000000016
quassus_prime_set,pc,2025-09-10 00:00:00+00:00,17.6665,26.8335,5.0,38.5,17.6665,3,17.8335,7.0,9.0,50.46681806712087,17.404641933951407,5.0,45.0
quassus_prime_set,pc,2025-09-11 00:00:00+00:00,15.5,24.667,3.5,34.5,15.5,3,16.6665,5.0,8.000500000000002,48.00348003480036,13.164358278284524,3.5,28.00175000000001
quassus_prime_set,pc,2025-09-12 00:00:00+00:00,18.0,26.3335,3.0,31.0,18.0,3,18.1665,6.0,8.167000000000002,44.95637574656649,13.531292382864955,3.0,24.501000000000005
quassus_prime_set,pc,2025-09-13 00:00:00+00:00,16.5,27.5,4.5,41.5,16.5,3,18.333,11.0,9.167000000000002,50.00272732231497,19.102970234327067,4.5,41.25150000000001
quassus_prime_set,pc,2025-09-14 00:00:00+00:00,18.333,26.5,5.0,39.5,18.333,3,15.833,7.0,10.667,67.37194467251942,20.62836838993996,5.0,53.335
quassus_prime_set,pc,2025-09-15 00:00:00+00:00,18.8335,26.3335,6.0,38.5,18.8335,3,17.75,8.0,8.5835,48.357746478873246,17.771505272153885,6.0,51.501000000000005
quassus_prime_set,pc,2025-09-16 00:00:00+00:00,18.667,25.5,8.0,47.5,18.667,3,16.833,8.0,8.667000000000002,51.488148280163976,19.043345411773018,8.0,69.33600000000001
quassus_prime_set,pc,2025-09-17 00:00:00+00:00,18.6665,25.5,9.5,37.0,18.6665,3,17.333,6.0,8.167000000000002,47.11821381180409,17.525662638106596,6.0,49.00200000000001
quassus_prime_set,pc,2025-09-18 00:00:00+00:00,18.0,23.5,4.5,43.0,18.0,3,16.2505,5.0,7.249500000000001,44.61093504815238,12.672519217424753,4.5,32.62275
quassus_prime_set,pc,2025-09-19 00:00:00+00:00,19.1665,26.8335,7.0,39.5,19.1665,3,17.0,6.0,9.8335,57.84411764705883,19.78826486283096,6.0,59.001000000000005
quassus_prime_set,pc,2025-09-20 00:00:00+00:00,17.833,24.6665,7.0,53.5,17.833,3,17.333,8.0,7.333500000000001,42.30946748975943,15.679765638112908,7.0,51.334500000000006
quassus_prime_set,pc,2025-09-21 00:00:00+00:00,17.5,26.5,8.5,46.5,17.5,3,18.833,8.0,7.667000000000002,40.710455052301825,17.053047765491378,8.0,61.33600000000001
quassus_prime_set,pc,2025-09-22 00:00:00+00:00,20.5,25.167,8.0,40.0,20.5,3,16.6665,7.0,8.500500000000002,51.00351003510036,18.17492981615583,7.0,59.50350000000002
quassus_prime_set,pc,2025-09-23 00:00:00+00:00,19.667,29.0,7.5,34.5,19.667,3,16.667,6.0,12.332999999999998,73.99652006959859,25.187503463533343,6.0,73.99799999999999
quassus_prime_set,pc,2025-09-24 00:00:00+00:00,21.833,27.6665,6.5,40.5,21.833,3,16.3325,5.0,11.334,69.39537731516913,21.559970389211554,5.0,56.67
quassus_prime_set,pc,2025-09-25 00:00:00+00:00,18.833,27.1665,6.5,38.5,18.833,3,16.75,7.0,10.4165,62.18805970149253,21.3235659860222,6.5,67.70724999999999
quassus_prime_set,pc,2025-09-26 00:00:00+00:00,20.0,27.333,7.0,37.0,20.0,3,16.0,7.0,11.332999999999998,70.83124999999998,23.566310991857573,7.0,79.33099999999999
