set_url,platform,date,buy_med,sell_med,buy_depth_med,sell_depth_med,eff_buy_price,n_parts,parts_cost_buy,min_part_eff_depth,margin,roi_pct,opportunity_score,daily_volume_cap,kpi_daily_potential
shade_prime_set,pc,2025-08-15 00:00:00+00:00,18.5,33.667,6.0,37.5,18.5,4,13.6665,8.0,20.000500000000002,146.34690666959355,41.40956383709603,6.0,120.00300000000001
shade_prime_set,pc,2025-08-22 00:00:00+00:00,24.5,32.1665,11.5,52.5,24.5,4,19.3335,16.0,12.832999999999998,66.37701399125868,34.37444870108668,11.5,147.5795
shade_prime_set,pc,2025-08-23 00:00:00+00:00,23.6665,32.667,4.5,54.0,23.6665,4,18.4165,12.0,14.250500000000002,77.37898080525616,30.24067533367048,4.5,64.12725
shade_prime_set,pc,2025-08-24 00:00:00+00:00,23.6665,32.167,2.5,56.0,23.6665,4,17.667,18.0,14.5,82.07392313352578,29.61313550808672,2.5,36.25
shade_prime_set,pc,2025-08-25 00:00:00+00:00,13.6665,30.5,2.5,59.0,13.6665,4,17.167,8.0,13.332999999999998,77.66645307858097,22.66168711817829,2.5,33.332499999999996
shade_prime_set,pc,2025-08-26 00:00:00+00:00,20.0,30.5,8.5,53.5,20.0,4,18.0,11.0,12.5,69.44444444444444,29.592411679802243,8.5,106.25
shade_prime_set,pc,2025-08-27 00:00:00+00:00,23.5,32.6665,8.5,57.5,23.5,4,15.8335,12.0,16.833,106.31256513089333,40.515356237295485,8.5,143.08049999999997
shade_prime_set,pc,2025-08-28 00:00:00+00:00,21.8335,29.167,6.5,54.0,21.8335,4,24.4165,8.0,4.750500000000002,19.45610550242665,10.002116982103942,6.5,30.878250000000016
shade_prime_set,pc,2025-08-29 00:00:00+00:00,24.833,33.3335,6.0,56.0,24.833,4,15.6665,10.0,17.667,112.76928477962534,38.31252625323239,6.0,106.00200000000001
shade_prime_set,pc,2025-08-30 00:00:00+00:00,23.1665,32.1665,7.5,58.0,23.1665,4,16.8335,8.0,15.332999999999998,91.08622686904089,33.251031020592755,7.5,114.99749999999999
shade_prime_set,pc,2025-08-31 00:00:00+00:00,21.0,29.0,5.0,50.0,21.0,4,15.333,7.0,13.667,89.13454640318268,26.429915701257098,5.0,68.335
shade_prime_set,pc,2025-09-01 00:00:00+00:00,18.1665,29.333,4.0,48.0,18.1665,4,16.333,9.0,13.0,79.59346109104268,25.296831937719073,4.0,52.0
shade_prime_set,pc,2025-09-02 00:00:00+00:00,21.3335,30.1665,8.0,52.5,21.3335,4,16.749499999999998,7.0,13.417000000000002,80.10388369802087,28.686904693060733,7.0,93.91900000000001
shade_prime_set,pc,2025-09-03 00:00:00+00:00,19.8335,27.833,6.0,48.5,19.8335,4,17.833,10.0,10.0,56.075814501205635,21.68592644661368,6.0,60.0
shade_prime_set,pc,2025-09-04 00:00:00+00:00,17.75,32.8335,4.5,49.0,17.75,4,21.8335,8.0,11.0,50.38129479927634,21.405011639608446,4.5,49.5
shade_prime_set,pc,2025-09-05 00:00:00+00:00,22.6665,29.1665,13.0,56.0,22.6665,4,18.8325,10.0,10.334,54.87322447895924,26.01933721469864,10.0,103.34
