set_url,platform,date,buy_med,sell_med,buy_depth_med,sell_depth_med,eff_buy_price,n_parts,parts_cost_buy,min_part_eff_depth,margin,roi_pct,opportunity_score,daily_volume_cap,kpi_daily_potential
strun_prime_set,pc,2025-08-15 00:00:00+00:00,31.667,48.333,8.0,50.0,31.667,4,25.000500000000002,12.0,23.332499999999996,93.32813343733123,55.516350285097495,8.0,186.65999999999997
strun_prime_set,pc,2025-08-22 00:00:00+00:00,19.667,42.5,4.5,54.5,19.667,4,19.25,19.0,23.25,120.77922077922078,54.10154084034549,4.5,104.625
strun_prime_set,pc,2025-08-23 00:00:00+00:00,29.5,42.5,4.5,53.0,29.5,4,17.8335,17.0,24.6665,138.3155297614041,56.16317463710032,4.5,110.99924999999999
strun_prime_set,pc,2025-08-24 00:00:00+00:00,27.5,41.6665,3.5,54.0,27.5,4,19.75,12.0,21.9165,110.96962025316456,44.10327013436057,3.5,76.70775
strun_prime_set,pc,2025-08-25 00:00:00+00:00,25.1665,39.8335,3.0,57.5,25.1665,4,25.8335,15.0,14.0,54.19319875355643,28.591992904359593,3.0,42.0
strun_prime_set,pc,2025-08-26 00:00:00+00:00,25.333,39.5,4.0,54.5,25.333,4,18.667,16.0,20.833,111.6033642256388,45.77477961964546,4.0,83.332
strun_prime_set,pc,2025-08-27 00:00:00+00:00,33.5,40.0,7.5,56.5,33.5,4,21.1665,19.0,18.8335,88.97786596744858,48.21597151388918,7.5,141.25125
strun_prime_set,pc,2025-08-28 00:00:00+00:00,26.0,39.0,2.5,51.5,26.0,4,27.75,11.0,11.25,40.54054054054054,20.605815989618968,2.5,28.125
strun_prime_set,pc,2025-08-29 00:00:00+00:00,24.0,41.6665,2.0,39.5,24.0,4,23.333,15.0,18.3335,78.5732653323619,34.25233627122812,2.0,36.667
strun_prime_set,pc,2025-08-30 00:00:00+00:00,25.333,42.0,4.5,50.0,25.333,4,23.5,13.0,18.5,78.72340425531915,39.9117016789461,4.5,83.25
strun_prime_set,pc,2025-08-31 00:00:00+00:00,25.0,39.0,1.0,33.0,25.0,4,23.167,6.0,15.832999999999998,68.34290154098501,19.60483731604711,1.0,15.832999999999998
strun_prime_set,pc,2025-09-01 00:00:00+00:00,25.0,42.6665,3.0,45.0,25.0,4,21.6665,11.0,21.0,96.92382249094224,40.083469574851364,3.0,63.0
strun_prime_set,pc,2025-09-02 00:00:00+00:00,29.1665,43.1665,4.5,38.5,29.1665,4,18.3335,11.0,24.833,135.45149589549183,51.749106559293544,4.5,111.74849999999999
strun_prime_set,pc,2025-09-03 00:00:00+00:00,30.0,42.667,2.0,41.0,30.0,4,26.0,9.0,16.667,64.10384615384616,27.61430759706259,2.0,33.334
