set_url,platform,date,buy_med,sell_med,buy_depth_med,sell_depth_med,eff_buy_price,n_parts,parts_cost_buy,min_part_eff_depth,margin,roi_pct,opportunity_score,daily_volume_cap,kpi_daily_potential
tatsu_prime_set,pc,2025-08-15 00:00:00+00:00,11.1665,20.8335,6.0,47.5,11.1665,3,11.6665,12.0,9.167000000000002,78.57540822011745,20.62337820492604,6.0,55.00200000000001
tatsu_prime_set,pc,2025-08-22 00:00:00+00:00,12.6665,22.6665,8.5,44.5,12.6665,3,9.75,18.0,12.9165,132.47692307692307,33.49199749732054,8.5,109.79024999999999
tatsu_prime_set,pc,2025-08-23 00:00:00+00:00,13.667,21.5,6.5,36.0,13.667,3,8.8335,13.0,12.6665,143.39163412011092,29.40706803722576,6.5,82.33224999999999
tatsu_prime_set,pc,2025-08-24 00:00:00+00:00,13.3335,21.667,7.0,40.5,13.3335,3,8.167,13.0,13.500000000000002,165.29937553569246,31.794118080088225,7.0,94.50000000000001
tatsu_prime_set,pc,2025-08-25 00:00:00+00:00,12.667,19.3335,10.0,41.5,12.667,3,10.5,8.0,8.8335,84.12857142857145,20.290520331443737,8.0,70.668
tatsu_prime_set,pc,2025-08-26 00:00:00+00:00,11.25,20.333,5.0,42.5,11.25,3,8.75,10.0,11.582999999999998,132.37714285714281,24.18861433132037,5.0,57.91499999999999
tatsu_prime_set,pc,2025-08-27 00:00:00+00:00,10.0835,17.5,5.5,47.0,10.0835,3,10.0,14.0,7.5,75.0,17.098683469734375,5.5,41.25
tatsu_prime_set,pc,2025-08-28 00:00:00+00:00,10.0,20.667,5.5,41.5,10.0,3,8.5,12.0,12.167000000000002,143.14117647058828,26.900172552993016,5.5,66.91850000000001
tatsu_prime_set,pc,2025-08-29 00:00:00+00:00,12.0,20.3335,6.0,47.0,12.0,3,10.3335,9.0,10.0,96.77263269947258,21.220781961103455,6.0,60.0
tatsu_prime_set,pc,2025-08-30 00:00:00+00:00,10.5,18.3335,3.5,45.0,10.5,3,10.1665,10.0,8.167000000000002,80.33246446663063,15.793745630509019,3.5,28.584500000000006
tatsu_prime_set,pc,2025-08-31 00:00:00+00:00,10.0,20.0,3.0,40.0,10.0,3,9.0,8.0,11.0,122.22222222222223,19.522573041430956,3.0,33.0
tatsu_prime_set,pc,2025-09-01 00:00:00+00:00,10.1665,22.6665,2.5,33.5,10.1665,3,13.75,7.0,8.9165,64.84727272727272,14.671583099596765,2.5,22.291249999999998
tatsu_prime_set,pc,2025-09-02 00:00:00+00:00,11.5,23.6665,4.5,34.5,11.5,3,13.333499999999999,11.0,10.333,77.49653129335884,21.532779691425937,4.5,46.4985
tatsu_prime_set,pc,2025-09-03 00:00:00+00:00,12.333,23.833,6.0,34.0,12.333,3,13.834,13.0,9.998999999999999,72.27844441231747,22.85389488186531,6.0,59.99399999999999
tatsu_prime_set,pc,2025-09-04 00:00:00+00:00,10.0,24.5,4.5,33.5,10.0,3,12.3335,8.0,12.1665,98.64596424372643,23.674915828481467,4.5,54.749249999999996
tatsu_prime_set,pc,2025-09-05 00:00:00+00:00,10.0,25.0,3.0,26.0,10.0,3,11.667,11.0,13.333,114.2795920116568,25.449185706737772,3.0,39.999
