set_url,platform,date,buy_med,sell_med,buy_depth_med,sell_depth_med,eff_buy_price,n_parts,parts_cost_buy,min_part_eff_depth,margin,roi_pct,opportunity_score,daily_volume_cap,kpi_daily_potential
wyrm_prime_set,pc,2025-08-15 00:00:00+00:00,70.0,79.8335,18.5,40.0,70.0,4,43.833,10.0,36.0005,82.13104282161842,96.52174132419833,10.0,360.005
wyrm_prime_set,pc,2025-08-22 00:00:00+00:00,70.1665,79.5,15.5,24.5,70.1665,4,50.1665,10.0,29.3335,58.47228728334645,76.23693463674229,10.0,293.33500000000004
wyrm_prime_set,pc,2025-08-23 00:00:00+00:00,69.0,79.8335,13.0,26.5,69.0,4,39.4165,11.0,40.417,102.53827711745082,103.53758206104104,11.0,444.587
wyrm_prime_set,pc,2025-08-24 00:00:00+00:00,70.8335,80.0,15.0,23.0,70.8335,4,46.5,6.0,33.5,72.04301075268818,78.72903569101685,6.0,201.0
wyrm_prime_set,pc,2025-08-25 00:00:00+00:00,72.5,79.8335,15.0,25.5,72.5,4,39.9165,8.0,39.917,100.00125261483348,99.03821600186592,8.0,319.336
wyrm_prime_set,pc,2025-08-26 00:00:00+00:00,69.1665,79.8335,11.5,25.0,69.1665,4,37.5835,7.0,42.25,112.41635292082962,97.16651358342875,7.0,295.75
wyrm_prime_set,pc,2025-08-27 00:00:00+00:00,71.6665,79.5,16.5,26.5,71.6665,4,32.333,10.0,47.167,145.8788234930257,123.95209103532213,10.0,471.67
wyrm_prime_set,pc,2025-08-28 00:00:00+00:00,71.6665,79.8335,16.5,29.0,71.6665,4,46.9995,9.0,32.834,69.86031766295388,84.68414040789098,9.0,295.50600000000003
wyrm_prime_set,pc,2025-08-29 00:00:00+00:00,72.5,80.1665,14.0,23.0,72.5,4,47.6665,6.0,32.5,68.18205658061741,75.36637355721203,6.0,195.0
wyrm_prime_set,pc,2025-08-30 00:00:00+00:00,72.5,79.5,16.5,29.5,72.5,4,44.5835,8.0,34.9165,78.31709040340036,88.15921445153862,8.0,279.332
wyrm_prime_set,pc,2025-08-31 00:00:00+00:00,75.0,82.667,18.0,29.0,75.0,4,46.334,5.0,36.333,78.41541848318728,85.38692697796164,5.0,181.665
wyrm_prime_set,pc,2025-09-01 00:00:00+00:00,72.3335,81.5,21.0,24.5,72.3335,4,53.8335,7.0,27.6665,51.39272014637726,71.22656634698633,7.0,193.6655
wyrm_prime_set,pc,2025-09-02 00:00:00+00:00,71.0,78.833,18.5,22.5,71.0,4,47.3335,9.0,31.499499999999998,66.54800511265805,82.91108563799544,9.0,283.4955
wyrm_prime_set,pc,2025-09-03 00:00:00+00:00,72.0,78.667,13.0,18.0,72.0,4,58.333,5.0,20.334000000000003,34.85848490562804,44.81854128041841,5.0,101.67000000000002
